participant_code,card_code,study_day,daily_review_index,first_ease,last_ease,last_scheduled_interval_days,next_gap_days,next_first_ease,scheduler_encoding
P01,C001,1,1,1,3,1.0,0.508634050925926,1.0,mixed
P01,C001,2,2,1,1,0.0069444444444444,1.5804201041666666,2.0,mixed
P01,C001,3,3,2,2,1.0,0.7139621875,3.0,mixed
P01,C001,4,4,3,3,2.0,1.794342037037037,3.0,mixed
P01,C001,6,5,3,3,4.0,4.252759513888889,3.0,mixed
P01,C002,1,1,1,3,1.0,0.4831938310185185,2.0,mixed
P01,C002,2,2,2,2,1.0,1.579642013888889,3.0,mixed
P01,C002,3,3,3,3,2.0,1.5180373032407408,3.0,mixed
P01,C002,5,4,3,3,3.0,2.8185031712962965,3.0,mixed
P01,C002,8,5,3,3,5.0,5.543554421296297,3.0,mixed
P01,C003,1,1,1,3,1.0,0.5042108217592592,3.0,mixed
P01,C003,2,2,3,3,2.0,2.2444877777777776,2.0,mixed
P01,C003,4,3,2,2,4.0,3.660724108796297,3.0,mixed
P01,C004,1,1,1,3,1.0,0.5231079513888889,3.0,mixed
P01,C004,2,2,3,3,4.0,4.097405949074075,3.0,mixed
P01,C005,1,1,3,3,3.0,2.802806793981482,1.0,mixed
P01,C005,4,2,1,1,0.0069444444444444,0.9675419907407408,3.0,mixed
P01,C005,5,3,3,3,8.0,8.218262118055556,3.0,mixed
P01,C006,1,1,1,3,1.0,0.5052536111111111,3.0,mixed
P01,C006,2,2,3,3,4.0,4.102350960648148,3.0,mixed
P01,C007,1,1,1,3,1.0,0.5058010069444445,3.0,mixed
P01,C007,2,2,3,3,3.0,3.284759375,3.0,mixed
P01,C008,1,1,1,3,1.0,0.520600787037037,1.0,mixed
P01,C008,2,2,1,1,0.0069444444444444,1.556796875,3.0,mixed
P01,C008,3,3,3,3,2.0,1.715900439814815,1.0,mixed
P01,C008,5,4,1,1,0.0069444444444444,0.8130792476851852,3.0,mixed
P01,C008,6,5,3,3,2.0,1.801551122685185,3.0,mixed
P01,C008,8,6,3,3,6.0,6.703356875,3.0,mixed
P01,C009,1,1,1,3,1.0,0.5142569212962963,3.0,mixed
P01,C009,2,2,3,3,4.0,4.073351307870371,3.0,mixed
P01,C010,1,1,1,3,1.0,0.5093180902777777,3.0,mixed
P01,C010,2,2,3,3,2.0,2.2080507060185184,3.0,mixed
P01,C010,4,3,3,3,6.0,6.115034502314815,3.0,mixed
P01,C011,1,1,1,3,1.0,0.5022132060185185,3.0,mixed
P01,C011,2,2,3,3,2.0,2.286529594907408,3.0,mixed
P01,C011,4,3,3,3,6.0,6.046713668981481,3.0,mixed
P01,C012,1,1,1,3,1.0,0.5045704398148148,3.0,mixed
P01,C012,2,2,3,3,3.0,3.263865914351852,2.0,mixed
P01,C013,1,1,1,3,1.0,0.4869619791666666,3.0,mixed
P01,C013,2,2,3,3,5.0,5.323806631944445,3.0,mixed
P01,C014,1,1,1,3,1.0,0.497460787037037,3.0,mixed
P01,C014,2,2,3,3,5.0,5.309953287037037,3.0,mixed
P01,C015,1,1,1,3,1.0,0.4989008912037037,3.0,mixed
P01,C015,2,2,3,3,3.0,3.274405775462963,3.0,mixed
P01,C016,1,1,2,3,2.0,2.0613076041666667,1.0,mixed
P01,C016,3,2,1,1,0.0069444444444444,0.7101500462962963,2.0,mixed
P01,C016,4,3,2,2,2.0,1.8280214699074075,3.0,mixed
P01,C017,1,1,3,3,4.0,3.7566792129629625,2.0,mixed
P01,C018,1,1,1,3,1.0,0.5038066319444444,3.0,mixed
