"calibration_rank","adaptivity","natural_deviation_sd","outcome_intercept","estimator","n_replications","mean_estimate","mean_truth","bias","absolute_bias","rmse","coverage_95","sign_error_rate","convergence_rate","monte_carlo_se_bias","mean_failure_rate","mean_planned_actual_spearman"
1,0.75,0.5,-2.4,"naive",100,-0.21825769582558,0.231857538074535,-0.450115233900115,0.450115233900115,0.457683222481172,0,1,1,0.00833042879793855,0.097525,0.825416475254596
1,0.75,0.5,-2.4,"history",100,0.0618911355961031,0.231857538074535,-0.169966402478432,0.175019892820977,0.198892854009529,0.53,0.31,1,0.0103815052160786,0.097525,0.825416475254596
1,0.75,0.5,-2.4,"schedule_conditioned",100,0.246202979645959,0.231857538074535,0.014345441571424,0.112076783680209,0.137518729125893,0.9,0.03,1,0.0137457465107058,0.097525,0.825416475254596
1,0.75,0.5,-2.4,"oracle",100,0.240013643222893,0.231857538074535,0.00815610514835783,0.105318616078734,0.127341142294287,0.88,0.02,1,0.0127719881581272,0.097525,0.825416475254596
2,0.5,0.35,-2.4,"naive",100,-0.275559085423267,0.165262392154487,-0.440821477577755,0.440821477577755,0.448541731477196,0,1,1,0.00832794357989765,0.0980458333333333,0.828222622451844
2,0.5,0.35,-2.4,"history",100,0.0132890341466011,0.165262392154487,-0.151973358007886,0.15744594468028,0.180219320290443,0.66,0.45,1,0.00973544075450122,0.0980458333333333,0.828222622451844
2,0.5,0.35,-2.4,"schedule_conditioned",100,0.179973499383802,0.165262392154487,0.0147111072293147,0.110424799738089,0.13806573806869,0.92,0.08,1,0.0137971345848667,0.0980458333333333,0.828222622451844
2,0.5,0.35,-2.4,"oracle",100,0.169761289272099,0.165262392154487,0.0044988971176111,0.0957592653962114,0.117085782766898,0.91,0.05,1,0.0117588739114456,0.0980458333333333,0.828222622451844
3,1,0.65,-2.4,"naive",100,-0.155110404979145,0.299684623769936,-0.45479502874908,0.45479502874908,0.461488288255337,0,1,1,0.00787075010990461,0.0971958333333333,0.824996986501213
3,1,0.65,-2.4,"history",100,0.117604190297277,0.299684623769936,-0.182080433472659,0.185466241083442,0.207298963210213,0.51,0.12,1,0.00995929893603724,0.0971958333333333,0.824996986501213
3,1,0.65,-2.4,"schedule_conditioned",100,0.306716532531408,0.299684623769936,0.00703190876147277,0.107644317857662,0.131983285566501,0.93,0,1,0.0132459789698491,0.0971958333333333,0.824996986501213
3,1,0.65,-2.4,"oracle",100,0.303154938012724,0.299684623769936,0.00347031424278818,0.105959386969613,0.126301164506295,0.93,0,1,0.0126889521161156,0.0971958333333333,0.824996986501213
4,1,0.5,-2.4,"naive",100,-0.203393409029295,0.281119569278189,-0.484512978307484,0.484512978307484,0.491149291255652,0,1,1,0.00808715164584167,0.0970208333333333,0.884277745890234
4,1,0.5,-2.4,"history",100,0.0491854989447277,0.281119569278189,-0.231934070333461,0.234039626456161,0.257001543585426,0.45,0.4,1,0.01112662673334,0.0970208333333333,0.884277745890234
4,1,0.5,-2.4,"schedule_conditioned",100,0.294919037112013,0.281119569278189,0.0137994678338248,0.132331365504881,0.164828439185511,0.92,0.04,1,0.0165077236443286,0.0970208333333333,0.884277745890234
4,1,0.5,-2.4,"oracle",100,0.288903686537719,0.281119569278189,0.00778411725953053,0.125262949841401,0.150707811403823,0.92,0,1,0.0151264875507311,0.0970208333333333,0.884277745890234
5,0.75,0.5,-2.65,"naive",100,-0.219312248143179,0.229563565408179,-0.448875813551358,0.448875813551358,0.457015798983441,0,1,1,0.00863042804109511,0.0771333333333333,0.821716981660934
5,0.75,0.5,-2.65,"history",100,0.0528112576577678,0.229563565408179,-0.176752307750411,0.183082929628978,0.208555068068783,0.62,0.35,1,0.0111254726932053,0.0771333333333333,0.821716981660934
5,0.75,0.5,-2.65,"schedule_conditioned",100,0.234843890640467,0.229563565408179,0.00528032523228746,0.121068714937788,0.148789407225802,0.91,0.05,1,0.0149444783452141,0.0771333333333333,0.821716981660934
5,0.75,0.5,-2.65,"oracle",100,0.229001128827992,0.229563565408179,-0.000562436580187564,0.115854796940788,0.137499710951203,0.89,0.04,1,0.0138191252982109,0.0771333333333333,0.821716981660934
