study,replication,n_participants,n_items,n_stages,context_strength,proxy_r2_target,proxy_r2_realized,estimator,truth,estimate,standard_error,normal_ci_low,normal_ci_high,participant_t_ci_low,participant_t_ci_high,converged,bias,squared_error,normal_covered,participant_t_covered,sign_error,failure_rate,planned_actual_spearman
context_proxy,0,30,100,2,1.0,0.0,1.3393550517397744e-33,plan_conditioned,0.2397864685000029,0.7237296614720826,0.07322394917033143,0.580210721098233,0.8672486018459322,0.5739698701149024,0.8734894528292628,true,0.4839431929720797,0.23420101402401158,false,false,false,0.10216666666666667,0.7140825194467366
context_proxy,0,30,100,2,1.0,0.0,1.3393550517397744e-33,plan_plus_proxy,0.2397864685000029,0.7295863055626446,0.0725640743424984,0.5873607198513477,0.8718118912739414,0.5811761097634458,0.8779965013618434,true,0.4897998370626417,0.23990388038659036,false,false,false,0.10216666666666667,0.7140825194467366
context_proxy,0,30,100,2,1.0,0.0,1.3393550517397744e-33,oracle,0.2397864685000029,0.2187333196167194,0.07934374352681269,0.06321958230416655,0.3742470569292723,0.05645714343790734,0.38100949579553145,true,-0.021053148883283496,0.0004432350779017011,true,true,false,0.10216666666666667,0.7140825194467366
context_proxy,0,30,100,2,1.0,0.25,0.24999999999999828,plan_conditioned,0.2397864685000029,0.7237296614720826,0.07322394917033143,0.580210721098233,0.8672486018459322,0.5739698701149024,0.8734894528292628,true,0.4839431929720797,0.23420101402401158,false,false,false,0.10216666666666667,0.7140825194467366
context_proxy,0,30,100,2,1.0,0.25,0.24999999999999828,plan_plus_proxy,0.2397864685000029,0.584771513871112,0.07220760998910841,0.44324459829245955,0.7262984294497645,0.43709036953383007,0.732452658208394,true,0.34498504537110913,0.11901468152970623,false,false,false,0.10216666666666667,0.7140825194467366
context_proxy,0,30,100,2,1.0,0.25,0.24999999999999828,oracle,0.2397864685000029,0.2187333196167194,0.07934374352681269,0.06321958230416655,0.3742470569292723,0.05645714343790734,0.38100949579553145,true,-0.021053148883283496,0.0004432350779017011,true,true,false,0.10216666666666667,0.7140825194467366
context_proxy,0,30,100,2,1.0,0.5,0.499999999999998,plan_conditioned,0.2397864685000029,0.7237296614720826,0.07322394917033143,0.580210721098233,0.8672486018459322,0.5739698701149024,0.8734894528292628,true,0.4839431929720797,0.23420101402401158,false,false,false,0.10216666666666667,0.7140825194467366
context_proxy,0,30,100,2,1.0,0.5,0.499999999999998,plan_plus_proxy,0.2397864685000029,0.4554017687546451,0.07548324727817306,0.30745460408942593,0.6033489334198643,0.30102119393689286,0.6097823435723974,true,0.2156153002546422,0.046489957703899513,false,false,false,0.10216666666666667,0.7140825194467366
context_proxy,0,30,100,2,1.0,0.5,0.499999999999998,oracle,0.2397864685000029,0.2187333196167194,0.07934374352681269,0.06321958230416655,0.3742470569292723,0.05645714343790734,0.38100949579553145,true,-0.021053148883283496,0.0004432350779017011,true,true,false,0.10216666666666667,0.7140825194467366
context_proxy,0,30,100,2,1.0,0.75,0.7499999999999951,plan_conditioned,0.2397864685000029,0.7237296614720826,0.07322394917033143,0.580210721098233,0.8672486018459322,0.5739698701149024,0.8734894528292628,true,0.4839431929720797,0.23420101402401158,false,false,false,0.10216666666666667,0.7140825194467366
