"planned_interval_threshold_days","outcome_definition","regularization_C","n_transitions","n_outcomes","log_odds_coefficient","odds_ratio","ci_low","ci_high","n_bootstrap_requested","n_bootstrap_successful"
0,"Again",1,2045,199,-0.226189926656883,0.797566608120276,0.503538095688729,1.56425377142031,1200,1200
0,"Again",10,2045,199,-0.319652289392601,0.7264015706982,0.345889334769902,1.79285701663745,1200,1200
0,"Again",100,2045,199,-0.370124444679518,0.690648377773246,0.295448460436658,2.21877576081214,1200,1200
0,"Again or Hard",1,2045,582,-0.251516364679443,0.777620731991635,0.683852365226881,1.34392583774725,1200,1200
0,"Again or Hard",10,2045,582,-0.302126418729271,0.739244604618556,0.600637644109792,1.48902996639611,1200,1200
0,"Again or Hard",100,2045,582,-0.311269754355489,0.732516249766439,0.578501637386887,1.53892636691936,1200,1200
0.25,"Again",1,1724,161,-0.223450658904648,0.799754351649817,0.496091807059747,1.68653860520693,1200,1200
0.25,"Again",10,1724,161,-0.276231669726197,0.758637157138837,0.348155060370235,2.54734776597434,1200,1200
0.25,"Again",100,1724,161,-0.301639206690589,0.739604861243013,0.283126043242386,3.44680927992127,1200,1200
0.25,"Again or Hard",1,1724,487,-0.237890749403782,0.788288807411757,0.707665425981715,1.54299308435764,1200,1200
0.25,"Again or Hard",10,1724,487,-0.247612282245224,0.780662561344567,0.654587230652596,2.20510720304743,1200,1200
0.25,"Again or Hard",100,1724,487,-0.248343828332107,0.780091679541273,0.628556452749088,2.5062673523058,1200,1200
0.5,"Again",1,1724,161,-0.223450658904648,0.799754351649817,0.496091807059747,1.68653860520693,1200,1200
0.5,"Again",10,1724,161,-0.276231669726197,0.758637157138837,0.348155060370235,2.54734776597434,1200,1200
0.5,"Again",100,1724,161,-0.301639206690589,0.739604861243013,0.283126043242386,3.44680927992127,1200,1200
0.5,"Again or Hard",1,1724,487,-0.237890749403782,0.788288807411757,0.707665425981715,1.54299308435764,1200,1200
0.5,"Again or Hard",10,1724,487,-0.247612282245224,0.780662561344567,0.654587230652596,2.20510720304743,1200,1200
0.5,"Again or Hard",100,1724,487,-0.248343828332107,0.780091679541273,0.628556452749088,2.5062673523058,1200,1200
1,"Again",1,1724,161,-0.223450658904648,0.799754351649817,0.496091807059747,1.68653860520693,1200,1200
1,"Again",10,1724,161,-0.276231669726197,0.758637157138837,0.348155060370235,2.54734776597434,1200,1200
1,"Again",100,1724,161,-0.301639206690589,0.739604861243013,0.283126043242386,3.44680927992127,1200,1200
1,"Again or Hard",1,1724,487,-0.237890749403782,0.788288807411757,0.707665425981715,1.54299308435764,1200,1200
1,"Again or Hard",10,1724,487,-0.247612282245224,0.780662561344567,0.654587230652596,2.20510720304743,1200,1200
1,"Again or Hard",100,1724,487,-0.248343828332107,0.780091679541273,0.628556452749088,2.5062673523058,1200,1200
