"n_participants","perturbation_log_days","perturbation_compliance","estimator","n_replications","mean_estimate","mean_truth","bias","absolute_bias","rmse","coverage_95","power_positive","monte_carlo_se_bias","mean_failure_rate"
12,0.15,0.7,"unadjusted_itt",250,0.00474688455064553,0.0049520220727272,-0.000205137522081664,0.00993649469134491,0.0124918867108545,0.932,0.052,0.000791534405846003,0.111973333333333
12,0.15,0.7,"covariate_adjusted_itt",250,0.00471675850886214,0.0049520220727272,-0.000235263563865061,0.00988901030989175,0.0123685312442824,0.936,0.06,0.000783682011254751,0.111973333333333
12,0.15,1,"unadjusted_itt",250,0.00638027962247984,0.00706040512577181,-0.000680125503291977,0.00979323975472635,0.0125194384291857,0.888,0.096,0.000792215559997269,0.11199
12,0.15,1,"covariate_adjusted_itt",250,0.00644818932588223,0.00706040512577181,-0.000612215799889588,0.0098179509663445,0.0124170161434795,0.896,0.1,0.000785939393214524,0.11199
12,0.3,0.7,"unadjusted_itt",250,0.00998779136030366,0.00988816338930217,9.96279710014867e-05,0.010325615384856,0.0129552721421096,0.928,0.132,0.000820982735984869,0.1118
12,0.3,0.7,"covariate_adjusted_itt",250,0.01020674306208,0.00988816338930217,0.000318579672777832,0.0103173982280332,0.0129395934419546,0.932,0.136,0.000819764843926609,0.1118
12,0.3,1,"unadjusted_itt",250,0.0137347315922044,0.0141293565703197,-0.000394624978115392,0.0113899239798699,0.0142626636568386,0.896,0.232,0.00090351354709164,0.111903333333333
12,0.3,1,"covariate_adjusted_itt",250,0.0138131395634794,0.0141293565703197,-0.000316217006840393,0.0114018391368897,0.0142362911738753,0.904,0.236,0.000901965709621555,0.111903333333333
12,0.45,0.7,"unadjusted_itt",250,0.0128280749475625,0.014865937562335,-0.00203786261477255,0.0111517981517281,0.0138445837584585,0.884,0.18,0.000867808057656112,0.112758333333333
12,0.45,0.7,"covariate_adjusted_itt",250,0.0128087663682698,0.014865937562335,-0.00205717119406523,0.0110351867103497,0.0136500986933759,0.884,0.184,0.000855159725838174,0.112758333333333
12,0.45,1,"unadjusted_itt",250,0.0213452167911827,0.021228888105014,0.000116328686168698,0.00940257922511745,0.0116733371929251,0.944,0.4,0.000739730953088923,0.111808333333333
12,0.45,1,"covariate_adjusted_itt",250,0.0213781550628073,0.021228888105014,0.000149266957793292,0.00928237421967314,0.011560785429662,0.944,0.424,0.000732573938113551,0.111808333333333
30,0.15,0.7,"unadjusted_itt",250,0.00475710214205276,0.00494635645627703,-0.000189254314224264,0.00663650528596431,0.00821272364033277,0.936,0.108,0.000520322005633337,0.111874666666667
30,0.15,0.7,"covariate_adjusted_itt",250,0.00476011411869574,0.00494635645627703,-0.000186242337581293,0.00659268384647556,0.00815469707000015,0.936,0.108,0.00051664813321531,0.111874666666667
30,0.15,1,"unadjusted_itt",250,0.00696090729804048,0.00706742946155623,-0.000106522163515753,0.00633448227838184,0.00792176791963097,0.936,0.156,0.000501976255063212,0.111856666666667
30,0.15,1,"covariate_adjusted_itt",250,0.00703011221398104,0.00706742946155623,-3.73172475751914e-05,0.00623365310548171,0.00783429661731888,0.932,0.152,0.00049647274283912,0.111856666666667
30,0.3,0.7,"unadjusted_itt",250,0.00853830630535472,0.00985276473115732,-0.00131445842580259,0.00678921367137896,0.00842880400888209,0.944,0.224,0.00052761848844152,0.111178
30,0.3,0.7,"covariate_adjusted_itt",250,0.00858772370502004,0.00985276473115732,-0.00126504102613727,0.00675110184404841,0.00833455134774986,0.932,0.228,0.000522061165885356,0.111178
30,0.3,1,"unadjusted_itt",250,0.0144005320752341,0.0141695684156844,0.000230963659549743,0.00626903167086658,0.00785666060324252,0.952,0.424,0.000497680449494733,0.112441333333333
30,0.3,1,"covariate_adjusted_itt",250,0.0143967855288648,0.0141695684156844,0.00022721711318044,0.00616646017410617,0.00779434511161472,0.952,0.432,0.000493736625978925,0.112441333333333
30,0.45,0.7,"unadjusted_itt",250,0.014152310081896,0.0148431526975445,-0.000690842615648513,0.00646477981621448,0.00827426518893159,0.924,0.44,0.000522529378498715,0.112336666666667
30,0.45,0.7,"covariate_adjusted_itt",250,0.0141849699086923,0.0148431526975445,-0.000658182788852243,0.00644286472170008,0.00817454971066751,0.928,0.44,0.00051635911971863,0.112336666666667
30,0.45,1,"unadjusted_itt",250,0.0211356127527137,0.0211705323118084,-3.4919559094646e-05,0.00650472974692147,0.0081624557782136,0.928,0.74,0.000517269883476846,0.112059333333333
30,0.45,1,"covariate_adjusted_itt",250,0.0211836251207276,0.0211705323118084,1.30928089192157e-05,0.00641095466765515,0.00805759281289222,0.928,0.724,0.000510628522527859,0.112059333333333
60,0.15,0.7,"unadjusted_itt",250,0.004876268920867,0.00495397003414736,-7.77011132803598e-05,0.00455406371053343,0.0057442013715716,0.952,0.128,0.000363990665477646,0.112262
60,0.15,0.7,"covariate_adjusted_itt",250,0.00487910582933231,0.00495397003414736,-7.48642048150431e-05,0.00452719886063175,0.00569459607236658,0.956,0.128,0.000360849175727887,0.112262
60,0.15,1,"unadjusted_itt",250,0.00709088963937249,0.00706919698766036,2.16926517121302e-05,0.00425192257188185,0.00524820231946998,0.952,0.228,0.000332588467048184,0.112121666666667
60,0.15,1,"covariate_adjusted_itt",250,0.00705130799199145,0.00706919698766036,-1.78889956689107e-05,0.00416510825322978,0.00520852631740243,0.948,0.212,0.000330074996850434,0.112121666666667
60,0.3,0.7,"unadjusted_itt",250,0.00958778614906117,0.00992250654321865,-0.000334720394157474,0.00477294234746114,0.00591076242939813,0.936,0.384,0.000373978258686194,0.112321666666667
60,0.3,0.7,"covariate_adjusted_itt",250,0.00957487520827574,0.00992250654321865,-0.000347631334942907,0.00469976561736093,0.00580434223628598,0.936,0.372,0.000367174937519661,0.112321666666667
60,0.3,1,"unadjusted_itt",250,0.0136984411870527,0.01411896565007,-0.000420524463017372,0.00461029054410028,0.00570366471482259,0.936,0.652,0.000360471302129728,0.112051
60,0.3,1,"covariate_adjusted_itt",250,0.0137445764197662,0.01411896565007,-0.000374389230303872,0.00463805901251749,0.00573780798379584,0.948,0.656,0.000362843927212009,0.112051
60,0.45,0.7,"unadjusted_itt",250,0.015183580600552,0.0148371399460591,0.0003464406544929,0.00463556821881481,0.00578011990788791,0.956,0.756,0.000365641676278338,0.112069333333333
60,0.45,0.7,"covariate_adjusted_itt",250,0.0151158394091921,0.0148371399460591,0.000278699463133039,0.00457843127251976,0.00573015903054795,0.96,0.756,0.00036270430677771,0.112069333333333
60,0.45,1,"unadjusted_itt",250,0.0219476933718065,0.0213018861802041,0.000645807191602371,0.00447316111359119,0.00558322766160663,0.952,0.964,0.000351447746963613,0.112841
60,0.45,1,"covariate_adjusted_itt",250,0.0218998902342005,0.0213018861802041,0.000598004053996346,0.00447564674964475,0.00561641899185746,0.944,0.964,0.000353902815168716,0.112841
100,0.15,0.7,"unadjusted_itt",250,0.0051363508257034,0.00494949194429267,0.00018685888141073,0.00363647149679957,0.00457090096041625,0.94,0.232,0.000289426932385792,0.1118386
100,0.15,0.7,"covariate_adjusted_itt",250,0.00512154381968963,0.00494949194429267,0.000172051875396957,0.0036466368402884,0.00458569628690141,0.94,0.228,0.000290402079577241,0.1118386
100,0.15,1,"unadjusted_itt",250,0.00701432449561744,0.00707140344057287,-5.70789449554377e-05,0.00354013358519668,0.00442517010370198,0.952,0.352,0.000280410430979611,0.1118376
100,0.15,1,"covariate_adjusted_itt",250,0.00708333647965505,0.00707140344057287,1.19330390821725e-05,0.00353543784196148,0.0044313097960882,0.948,0.348,0.000280821829717931,0.1118376
100,0.3,0.7,"unadjusted_itt",250,0.00996018022764027,0.00988576069394534,7.44195336949316e-05,0.00335175202214996,0.0043950544217342,0.956,0.64,0.000278485325859219,0.1118546
100,0.3,0.7,"covariate_adjusted_itt",250,0.00994888406599819,0.00988576069394534,6.3123372052843e-05,0.00335071010947685,0.00438675030558951,0.948,0.652,0.000277970222347663,0.1118546
100,0.3,1,"unadjusted_itt",250,0.0141181261287418,0.0141415948092938,-2.3468680552003e-05,0.00369292737538785,0.00458370822581473,0.936,0.9,0.000290476898558429,0.112404
100,0.3,1,"covariate_adjusted_itt",250,0.014102187076935,0.0141415948092938,-3.9407732358742e-05,0.00373709799037802,0.00458665301096603,0.94,0.904,0.000290656595522309,0.112404
100,0.45,0.7,"unadjusted_itt",250,0.015117826957414,0.0148576054650276,0.000260221492386354,0.0036323184884996,0.00455945009262281,0.936,0.908,0.000288472433810142,0.1122246
100,0.45,0.7,"covariate_adjusted_itt",250,0.0151287584624109,0.0148576054650276,0.000271152997383262,0.00358627777679358,0.00451017396071466,0.936,0.912,0.000285303651441368,0.1122246
100,0.45,1,"unadjusted_itt",250,0.0210392908860427,0.0212148489324847,-0.000175558046441985,0.0037008243216389,0.00457534094209609,0.944,0.996,0.000289736926159789,0.1121762
100,0.45,1,"covariate_adjusted_itt",250,0.0210370509000724,0.0212148489324847,-0.000177798032412342,0.0037330863462941,0.00461433182995213,0.944,0.996,0.000292204239628631,0.1121762
