"n_participants","perturbation_log_days","perturbation_compliance","estimator","n_replications","mean_truth","mean_estimate","bias","absolute_bias","rmse","normal_coverage_95","participant_t_coverage_95","normal_power_positive","participant_t_power_positive","monte_carlo_se_bias","mean_standard_error","mean_failure_rate"
12,0.15,0.7,"unadjusted_itt",250,0.00490331514445891,0.00590808035924096,0.00100476521478205,0.0105545536834395,0.0131981616281058,0.94,0.964,0.104,0.052,0.000833972246378736,0.0127831929803311,0.1115
12,0.15,0.7,"covariate_adjusted_itt",250,0.00490331514445891,0.00604209327642401,0.00113877813196511,0.0103501166211674,0.0130808070901572,0.92,0.964,0.096,0.056,0.000825815158913316,0.012742055027378,0.1115
12,0.15,1,"unadjusted_itt",250,0.00706967189289328,0.00758793917227405,0.00051826727938077,0.0107958385440041,0.0136859390713911,0.932,0.964,0.144,0.084,0.000866689049663742,0.0125305462467098,0.111776666666667
12,0.15,1,"covariate_adjusted_itt",250,0.00706967189289328,0.00748612807165923,0.000416456178765948,0.0107976295163058,0.0136430991020799,0.932,0.96,0.14,0.1,0.00086419337546765,0.012453932141085,0.111776666666667
12,0.3,0.7,"unadjusted_itt",250,0.0098262083038825,0.00896764293871152,-0.000858565365170982,0.0107550227095389,0.013320885492664,0.928,0.936,0.116,0.088,0.000842421580782841,0.0126305023144367,0.110863333333333
12,0.3,0.7,"covariate_adjusted_itt",250,0.0098262083038825,0.00911604673329983,-0.000710161570582667,0.0106036705649998,0.0131567707732277,0.932,0.94,0.124,0.096,0.000832560977958842,0.012583871395483,0.110863333333333
12,0.3,1,"unadjusted_itt",250,0.0142618997082008,0.013603652218706,-0.00065824748949481,0.0099581541481338,0.0123743609565,0.948,0.964,0.228,0.168,0.000783082979708884,0.0123367938114505,0.113393333333333
12,0.3,1,"covariate_adjusted_itt",250,0.0142618997082008,0.0136219024398347,-0.00063999726836611,0.0100172597557144,0.0124858275400537,0.932,0.956,0.224,0.176,0.000790217022847891,0.0123035995060428,0.113393333333333
12,0.45,0.7,"unadjusted_itt",250,0.0148337479441983,0.0161546263612554,0.00132087841705718,0.0109026681368749,0.0134376398588096,0.932,0.956,0.292,0.248,0.000847451755939098,0.012650547545236,0.112513333333333
12,0.45,0.7,"covariate_adjusted_itt",250,0.0148337479441983,0.0161231638747369,0.00128941593053863,0.0108935705055037,0.013377817067022,0.936,0.956,0.304,0.24,0.00084383756225532,0.0125648168963594,0.112513333333333
12,0.45,1,"unadjusted_itt",250,0.0212436484321627,0.0211708584495875,-7.27899825752295e-05,0.0106227495577776,0.0130980091590096,0.92,0.956,0.44,0.352,0.000830039786020678,0.012284501033553,0.111441666666667
12,0.45,1,"covariate_adjusted_itt",250,0.0212436484321627,0.0212344691475957,-9.17928456699885e-06,0.0105768449601086,0.0131031235651717,0.924,0.944,0.424,0.36,0.000830376512329489,0.0122280601256532,0.111441666666667
30,0.15,0.7,"unadjusted_itt",250,0.00495790055671419,0.00549478132021483,0.000536880763500644,0.00618586176733117,0.00749487738516789,0.972,0.972,0.084,0.084,0.000473748387222076,0.00804804936394863,0.112705333333333
30,0.15,0.7,"covariate_adjusted_itt",250,0.00495790055671419,0.0054557328877033,0.000497832330989111,0.00616129060571456,0.0074910658700259,0.956,0.968,0.112,0.088,0.000473677532691876,0.00801188564739718,0.112705333333333
30,0.15,1,"unadjusted_itt",250,0.00708804842425727,0.00831086395623488,0.00122281553197761,0.00729306151106191,0.00911815429963291,0.912,0.92,0.204,0.176,0.000572619781077636,0.00815041248363588,0.112436
30,0.15,1,"covariate_adjusted_itt",250,0.00708804842425727,0.00833262684495371,0.00124457842069644,0.00726527726334329,0.00911477789550544,0.896,0.908,0.2,0.184,0.000572215453002753,0.0081125869218375,0.112436
30,0.3,0.7,"unadjusted_itt",250,0.00993216139023816,0.0103116251737939,0.000379463783555743,0.00604240060371684,0.00761200098347677,0.956,0.968,0.248,0.208,0.000481791195292243,0.00809028781617191,0.112692
30,0.3,0.7,"covariate_adjusted_itt",250,0.00993216139023816,0.010262654472245,0.000330493082006799,0.00596034348452415,0.00758291839079252,0.96,0.968,0.248,0.208,0.000480091296723256,0.0080364396348209,0.112692
30,0.3,1,"unadjusted_itt",250,0.0141570509640137,0.0137909585835331,-0.000366092380480597,0.00630374031516936,0.00786597094902642,0.944,0.948,0.388,0.368,0.000497945479104055,0.0080254600400703,0.11261
30,0.3,1,"covariate_adjusted_itt",250,0.0141570509640137,0.0137903804932018,-0.000366670470811943,0.00622714767925422,0.00776009892410859,0.948,0.948,0.388,0.352,0.000491227002702293,0.0079768902766869,0.11261
30,0.45,0.7,"unadjusted_itt",250,0.0148054192330541,0.0141196359140641,-0.000685783318989983,0.00699730070420913,0.00855194514384366,0.92,0.928,0.436,0.396,0.00054021216634717,0.00797493973029922,0.11208
30,0.45,0.7,"covariate_adjusted_itt",250,0.0148054192330541,0.0141180135611523,-0.000687405671901749,0.00692328826554844,0.00844508780613893,0.924,0.932,0.432,0.416,0.000533409814404409,0.00794238024833544,0.11208
30,0.45,1,"unadjusted_itt",250,0.0212837557188389,0.0218057975681595,0.000522041849320588,0.00672698022788528,0.00859238095706308,0.916,0.928,0.756,0.704,0.000543514085853825,0.00809924780876985,0.112824
30,0.45,1,"covariate_adjusted_itt",250,0.0212837557188389,0.0218107065326622,0.000526950813823257,0.00676499611578104,0.00861155644963295,0.92,0.924,0.756,0.716,0.000544712544674166,0.00806507217920509,0.112824
60,0.15,0.7,"unadjusted_itt",250,0.00495910499894862,0.00531644377160903,0.00035733877266041,0.00461189155133649,0.00574762115308259,0.956,0.96,0.16,0.152,0.000363536058109574,0.00571728874853364,0.112423
60,0.15,0.7,"covariate_adjusted_itt",250,0.00495910499894862,0.00529878327105549,0.000339678272106867,0.00455798305522263,0.00569311606850548,0.956,0.96,0.152,0.136,0.000360143820228434,0.00569024315543589,0.112423
60,0.15,1,"unadjusted_itt",250,0.00706690934216423,0.00670285847772098,-0.00036405086444325,0.00467025391300588,0.00596658969247073,0.924,0.932,0.216,0.204,0.000377412770987419,0.00562648087489316,0.111636333333333
60,0.15,1,"covariate_adjusted_itt",250,0.00706690934216423,0.00669468684012395,-0.000372222502040284,0.00458212275198381,0.00587588143066043,0.928,0.936,0.22,0.208,0.000371620963545932,0.00559594604180481,0.111636333333333
