"n_participants","adaptivity","state_reliability","estimator","n_replications","mean_estimate","mean_truth","bias","absolute_bias","rmse","coverage_95","sign_error_rate","convergence_rate","monte_carlo_se_bias","mean_failure_rate","mean_planned_actual_spearman"
12,0,0.5,"naive",200,0.0789472011396289,0.138384233925927,-0.0594370327862977,0.0742447546253333,0.090123846035366,0.82,0.135,1,0.00480240034087171,0.102491666666667,0.399355311793457
12,0,0.5,"history",200,0.144094405314001,0.138384233925927,0.00571017138807457,0.0558644817991137,0.0698813817791839,0.94,0.015,1,0.00493719421778758,0.102491666666667,0.399355311793457
12,0,0.5,"schedule_conditioned",200,0.143137727127633,0.138384233925927,0.00475349320170628,0.0618067266637455,0.0774810614337588,0.93,0.02,1,0.00548214057122118,0.102491666666667,0.399355311793457
12,0,0.5,"oracle",200,0.146187871858034,0.138384233925927,0.00780363793210731,0.0558252015267181,0.0704955402521358,0.95,0.015,1,0.00496658403100264,0.102491666666667,0.399355311793457
12,0,0.8,"naive",200,0.0713476165327102,0.137900513056719,-0.0665528965240092,0.0818745301890518,0.0965441287605215,0.785,0.15,1,0.00495785289602835,0.1016625,0.397016512906513
12,0,0.8,"history",200,0.138416092758394,0.137900513056719,0.000515579701674988,0.0577287766575889,0.0698846088736083,0.945,0.015,1,0.00495385375339161,0.1016625,0.397016512906513
12,0,0.8,"schedule_conditioned",200,0.141082757283184,0.137900513056719,0.0031822442264643,0.0635116287973566,0.0774859434147373,0.91,0.02,1,0.00548819873634539,0.1016625,0.397016512906513
12,0,0.8,"oracle",200,0.139160033236332,0.137900513056719,0.00125952017961254,0.0576557040735635,0.0700642488885405,0.95,0.02,1,0.00496592033059448,0.1016625,0.397016512906513
12,0.4,0.5,"naive",200,-0.163672708508381,0.171436274674438,-0.33510898318282,0.33510898318282,0.345057244496807,0.005,0.98,1,0.00583115500505623,0.0996208333333333,0.654037040575007
12,0.4,0.5,"history",200,0.00727870867902308,0.171436274674438,-0.164157565995415,0.167202179133217,0.185940724008898,0.485,0.465,1,0.0061905448942325,0.0996208333333333,0.654037040575007
12,0.4,0.5,"schedule_conditioned",200,0.179085282103742,0.171436274674438,0.00764900742930384,0.0755680329805442,0.0948927092412078,0.925,0.035,1,0.00670487670434862,0.0996208333333333,0.654037040575007
12,0.4,0.5,"oracle",200,0.180388939623566,0.171436274674438,0.00895266494912738,0.0690396947871982,0.0887582356324771,0.925,0.015,1,0.00625981608368029,0.0996208333333333,0.654037040575007
12,0.4,0.8,"naive",200,-0.160324541901693,0.170990969754227,-0.331315511655919,0.331315511655919,0.342559489302788,0.01,0.96,1,0.00617053928055579,0.100860416666667,0.651839994494791
12,0.4,0.8,"history",200,0.0955763976736968,0.170990969754227,-0.0754145720805301,0.096073050100956,0.117563145301245,0.805,0.125,1,0.00639320283328308,0.100860416666667,0.651839994494791
12,0.4,0.8,"schedule_conditioned",200,0.181314872453147,0.170990969754227,0.0103239026989206,0.0773796935092143,0.0960720999545787,0.92,0.005,1,0.00677093456534397,0.100860416666667,0.651839994494791
12,0.4,0.8,"oracle",200,0.175579086519139,0.170990969754227,0.0045881167649116,0.0733147208689295,0.0917202209178572,0.935,0.025,1,0.00649373416965857,0.100860416666667,0.651839994494791
12,0.75,0.5,"naive",200,-0.197241860643478,0.227336521448364,-0.424578382091842,0.424578382091842,0.433826939335583,0,1,1,0.0063162113960635,0.0993395833333333,0.816599162994646
12,0.75,0.5,"history",200,-0.0539084780849144,0.227336521448364,-0.281244999533279,0.281244999533279,0.300289353439008,0.145,0.69,1,0.00746009350526209,0.0993395833333333,0.816599162994646
12,0.75,0.5,"schedule_conditioned",200,0.235299861725655,0.227336521448364,0.00796334027729028,0.0991087566921498,0.125451086430054,0.935,0.03,1,0.00887505688228892,0.0993395833333333,0.816599162994646
