replication,learner_family,scheduler_family,n_stages,failure_rate,selected_family,selected_parameter,rl_parameter_within_family,bayesian_parameter_within_family,rl_nll,bayesian_nll,rl_state_rmse,bayesian_state_rmse,rl_state_correlation,bayesian_state_correlation,rl_unsigned_pe_correlation,bayesian_unsigned_pe_correlation,rl_policy_rmse,bayesian_policy_rmse
0,RL,RL,2,0.1275,RL,0.3,0.3,0.65,882.1049965708177,882.5995097981508,0.30428053907565195,0.33370531197939673,0.9403724568642875,0.9262694235110305,0.958125979742453,0.9425680268985072,0.20312913404817076,0.2066554175494772
1,RL,RL,2,0.09083333333333334,RL,0.3,0.3,0.65,725.2379958115007,726.9127976826957,0.30324915695711846,0.34696408527837047,0.9392157089245978,0.9191919670528828,0.9687400065234947,0.9527925100475956,0.20069591045364749,0.20788477722475315
2,RL,RL,2,0.10958333333333334,RL,0.3,0.3,0.65,808.0533328870883,808.8839907442275,0.29798518468755464,0.34309731234827173,0.9411252799374381,0.9239739056320377,0.9651175133468975,0.9484020764034694,0.20273813525682136,0.209697419792916
3,RL,RL,2,0.10541666666666667,RL,0.3,0.3,0.65,766.0996305472386,766.9896907820612,0.3076223155419616,0.34028087019319725,0.9428198447260789,0.9286213166761328,0.9700844364632675,0.9557284444962203,0.20467655347163746,0.20997323913969806
4,RL,RL,2,0.12958333333333333,Bayesian,0.65,0.25,0.65,900.3336503316768,899.3920321637112,0.3073914697832641,0.33299768168619703,0.9366073160384037,0.9216769644796637,0.9584838115031767,0.9427475068476624,0.201075135561581,0.20454178609607238
5,RL,RL,2,0.12041666666666667,RL,0.25,0.25,0.65,851.3973087571321,851.5905966021796,0.29669793126271027,0.3373367476475224,0.9403214093506786,0.9243573405927141,0.960644949884626,0.9428317176639006,0.20074039178201875,0.2056692514773263
6,RL,RL,2,0.11291666666666667,RL,0.3,0.3,0.65,818.1162293421796,818.8266467887175,0.2964037894883338,0.3246828823833986,0.9335091609842695,0.9176035398065501,0.95835362987567,0.940925614067828,0.19735090517848147,0.20144209268199945
7,RL,RL,2,0.11458333333333333,Bayesian,0.65,0.2,0.65,839.0268657239569,838.2702631498212,0.3105660123542008,0.33998016134745784,0.9380065105700207,0.9214943022869512,0.9688089361882309,0.9544371095303057,0.20263266406410094,0.2081880791379467
8,RL,RL,2,0.09375,RL,0.3,0.3,0.65,724.661909892734,725.8719248224692,0.3163060109464287,0.35682762123860173,0.9270720137583373,0.907857322210146,0.9672380716362299,0.9516035939385171,0.20375222951987215,0.20961534027298961
9,RL,RL,2,0.12291666666666666,RL,0.3,0.3,0.65,859.4458462910131,861.0110063937888,0.2986838427437523,0.3385044640204695,0.9512870434528813,0.937090309974004,0.9684106825928729,0.9525320098722071,0.20052249020924925,0.20788031526209153
10,RL,RL,2,0.11375,Bayesian,0.45,0.2,0.45,829.1439906195167,828.6036872952085,0.31007310763111035,0.3507893069871775,0.9450300476023359,0.9278634857139336,0.9704249864103965,0.9541106416345562,0.19659278835720356,0.20351614643126392
11,RL,RL,2,0.11583333333333333,Bayesian,0.45,0.2,0.45,839.9051968570122,839.653509508968,0.3093672650799775,0.34248791901959413,0.9391242381829851,0.9229827954848092,0.9650451713932777,0.9485917129869795,0.1980225445092202,0.20202779230043375
12,RL,RL,2,0.10916666666666666,RL,0.3,0.3,0.65,788.801943560364,789.6927405661361,0.29933598483752094,0.3294887734055299,0.9471141704652591,0.935071694859924,0.9652748955175753,0.9515526231388696,0.20248936982874963,0.2070192039857348
13,RL,RL,2,0.10083333333333333,Bayesian,0.65,0.3,0.65,761.7820095706777,761.6669277342635,0.3040618923084961,0.3478185750257582,0.9390591682669579,0.9209695284523574,0.9708365531907975,0.9568085068833798,0.20105877998468955,0.2084898778059334
14,RL,RL,2,0.12041666666666667,RL,0.1,0.1,0.02,855.2630704571807,856.4351498720795,0.2960383425922233,0.3325892721870899,0.9506677493330034,0.9361544533968511,0.9700980655219466,0.9544275003810141,0.20172887885074842,0.20680842030333915
15,RL,RL,2,0.11041666666666666,RL,0.3,0.3,0.65,815.3111137041466,815.5511396370384,0.3118178554313885,0.3426369871766413,0.9236291671412346,0.9069877685727866,0.9523113187009693,0.9354532632740952,0.19731069324902054,0.2014670684543131
16,RL,RL,2,0.11166666666666666,Bayesian,0.65,0.25,0.65,825.2608011522905,824.9451507775757,0.30313675126236905,0.33709174180363494,0.934769258386845,0.9173292223370855,0.9631763948281068,0.9469568563213498,0.1997205686484384,0.205262770807454
17,RL,RL,2,0.12375,RL,0.3,0.3,0.65,865.8575528371288,867.0396737939429,0.2839911625858052,0.31937798660787176,0.9471636773643503,0.9349307975773572,0.9599767492367278,0.9454805991790799,0.20412857702886686,0.20596621150720848
18,RL,RL,2,0.11916666666666667,RL,0.3,0.3,0.65,853.8275285395663,853.9267082284957,0.2924301379454371,0.3333560798782891,0.9415838064031218,0.9261002156801917,0.9624342967103697,0.9459543286809117,0.20311404794418514,0.20799110278932248
19,RL,RL,2,0.11625,RL,0.4,0.4,0.65,831.8221012119681,832.6278477533672,0.293887023222231,0.3291193561713306,0.938199455449703,0.9244468565708308,0.9591700799560865,0.9452859501729639,0.19508786038140957,0.19671149434152474
20,RL,RL,2,0.1225,Bayesian,0.65,0.25,0.65,854.8578217227509,854.7880426708542,0.29764365450666014,0.33860843005974284,0.952759535780289,0.9428242300733094,0.9678645197268958,0.9546795930161864,0.20076586315859854,0.20583039346634896
21,RL,RL,2,0.12041666666666667,RL,0.3,0.3,0.65,840.3841746166893,841.2261201559272,0.3049104955947461,0.34143453251025935,0.9521771807377711,0.9406105325540601,0.9661379894460191,0.9519467132577807,0.19329437559676954,0.19921208465965043
22,RL,RL,2,0.12875,RL,0.25,0.25,0.65,912.6156947956538,912.7435140786887,0.29428357442645986,0.3361493929273863,0.9379279166958777,0.9179088437738502,0.9626664011797279,0.9434085617462555,0.1946819783620886,0.19901315585788235
23,RL,RL,2,0.10625,Bayesian,0.65,0.25,0.65,808.4829820989937,807.7337413081968,0.30941090989917835,0.35572267029106625,0.9260850227008741,0.9016958586714903,0.9683389782935223,0.9515883982968375,0.1994127977480221,0.20652569932721793
24,RL,RL,2,0.09916666666666667,RL,0.1,0.1,0.02,759.4069151302928,759.6429514915957,0.31579935239546747,0.3546812528344408,0.9235294745974473,0.9062988341486546,0.9664296079974496,0.9516121377917582,0.20408973695823515,0.209395287838048
25,RL,RL,2,0.11583333333333333,RL,0.3,0.3,0.65,839.1240090399771,839.1403421028133,0.2895156802956691,0.32629097101323346,0.9454442722365853,0.9322827354401468,0.9625469107123356,0.9466223000664811,0.20648089903816702,0.21065671760672647
26,RL,RL,2,0.11583333333333333,RL,0.3,0.3,0.65,825.3670564614308,825.6415286176737,0.30852657907805303,0.33679823904027073,0.9435850082829496,0.9302238876874622,0.967545179241866,0.9538763176323423,0.2013210195809554,0.20786735397434908
27,RL,RL,2,0.10833333333333334,RL,0.25,0.25,0.65,804.8121435646635,805.261484588132,0.3035227850031298,0.33968478075258596,0.9408061496715964,0.9241069301443661,0.9656708720689152,0.9484384129269605,0.1951527134978989,0.20077447859412215
28,RL,RL,2,0.10958333333333334,RL,0.2,0.2,0.65,801.5276966609248,802.3534807932142,0.30473309764988865,0.3581954714712687,0.9432020318813483,0.9267529237653496,0.9733070606315336,0.9589482244593276,0.20006443803626778,0.20671142709378315
29,RL,RL,2,0.0975,RL,0.2,0.2,0.2,749.4518169900059,749.947463782542,0.2992479868925365,0.3312265680003602,0.9393759896648989,0.9244200093027994,0.9653807684803096,0.9504239035565951,0.1950413169719156,0.20456246716617435
30,RL,RL,2,0.12166666666666667,Bayesian,0.3,0.2,0.3,878.4729740305872,877.9307819296242,0.29633932866341817,0.3290544556502575,0.9199879194814051,0.898710818914489,0.9637310638751152,0.9475734753668018,0.1987216731643001,0.20319715773641014
31,RL,RL,2,0.12625,Bayesian,0.45,0.2,0.45,887.2100853710671,886.4088153975002,0.29746785573062007,0.33967129168372706,0.9500309331007534,0.9365302144953601,0.9686286008043183,0.9539617626843009,0.19710481124954268,0.2028067170639142
32,RL,RL,2,0.10333333333333333,RL,0.3,0.3,0.65,765.4207362046027,766.7617842323612,0.30612496603254313,0.33759687617705103,0.9459652687961351,0.9334336195987917,0.9644105056042841,0.9493359659477835,0.1990680486130514,0.2032038969566733
33,RL,RL,2,0.11208333333333333,RL,0.3,0.3,0.65,819.83914743452,820.3793105758832,0.30882301253609556,0.35150275225213734,0.9361491062255586,0.9187994977776417,0.965115833211001,0.9494463908114074,0.19876749089044793,0.20305463033925647
34,RL,RL,2,0.11583333333333333,RL,0.3,0.3,0.65,825.4135157963606,825.5591365141054,0.2908015803263402,0.33140961402606123,0.953943874119509,0.9419078587834865,0.9664208890181273,0.9512147637784377,0.19918571055856207,0.20418745915684813
35,RL,RL,2,0.11958333333333333,Bayesian,0.45,0.2,0.45,848.5283907002091,848.5245903491463,0.2911684053378987,0.32396322020829865,0.9455124411073702,0.9329429438103153,0.9614634591471815,0.944644086043281,0.1962393446168843,0.20138442188424488
36,RL,RL,2,0.125,RL,0.3,0.3,0.65,883.1995913830824,883.5363356983996,0.30693354210881246,0.3327972896889076,0.9313764768998649,0.9153716474989041,0.9557390550973442,0.9371609711052167,0.20127094158323,0.20679675500048422
37,RL,RL,2,0.1025,RL,0.3,0.3,0.65,784.2841248521439,785.2840198201839,0.313201327286122,0.34711985574850124,0.9259432414533176,0.9071773207429411,0.9602230295528759,0.9430782758942399,0.2006108942080872,0.20425118536862244
38,RL,RL,2,0.12416666666666666,Bayesian,0.65,0.25,0.65,891.347876469569,890.7956342255701,0.29857434951505,0.34397793338139643,0.949728900215234,0.9320628863539449,0.9712112848390594,0.9547024436336732,0.20087469111993173,0.20788430600165153
39,RL,RL,2,0.12333333333333334,Bayesian,0.65,0.25,0.65,873.0540330562042,872.216976749431,0.29957309614385097,0.3471631998340725,0.9404639475877807,0.9229479059827556,0.9630563649573028,0.9461600131384487,0.19800828836210155,0.20444157475369742
40,RL,RL,2,0.12416666666666666,RL,0.4,0.4,0.65,874.8390798386943,876.4893305834717,0.30346872427798366,0.3390918333432675,0.9390415955828784,0.9234116449125215,0.9571097639920791,0.9382058446424805,0.20017406987666317,0.20527638150918984
41,RL,RL,2,0.11583333333333333,RL,0.25,0.25,0.65,843.0507299103674,843.0637991693416,0.2980122201043538,0.3415225010062359,0.9451056071600471,0.9300704763545654,0.9667477099599149,0.9512475474341825,0.19914596542991023,0.20479622082637639
42,RL,RL,2,0.105,RL,0.3,0.3,0.65,780.6189604217403,781.5073681030893,0.30326960919399515,0.32849062308323607,0.9348721302474731,0.9215209793124992,0.9658648441844913,0.9530585561365374,0.19881503061800213,0.2039005887428977
43,RL,RL,2,0.11375,Bayesian,0.65,0.25,0.65,834.1670926541517,833.7288823059433,0.30580957006037923,0.3282715994155989,0.922634021898412,0.9038327654773771,0.963802464291837,0.9492961302913602,0.20147942235418945,0.20508647926566442
44,RL,RL,2,0.11583333333333333,Bayesian,0.65,0.25,0.65,838.2863375379385,837.8145180379745,0.3017792575557751,0.33427841961599675,0.9407436431897124,0.9281331886168651,0.9667831913388045,0.9543302874266787,0.20290947305823034,0.2078807677001737
45,RL,RL,2,0.1125,RL,0.25,0.25,0.65,821.929174568685,822.1544430259116,0.2975029645448942,0.3386430884937376,0.9478349693464173,0.9319259526435876,0.9653324758053173,0.9488397685486626,0.19805162115755212,0.2029978523460637
46,RL,RL,2,0.1075,Bayesian,0.3,0.2,0.3,800.3528598051861,800.0373783089888,0.30250139755038585,0.33365784088199696,0.9360697501209724,0.9232687555084008,0.9657611404485819,0.9528380682977774,0.20364066960227414,0.2079113427560538
47,RL,RL,2,0.10375,Bayesian,0.65,0.25,0.65,808.0983437942874,807.2481207535737,0.2998201500105704,0.34398116773318754,0.9401031349024097,0.9223937177967115,0.9656606384110362,0.9487468409704981,0.2030402191833827,0.20799813641356554
48,RL,RL,2,0.11125,RL,0.25,0.25,0.65,821.1817729245689,821.5862740526787,0.3001350663624657,0.3350252546808365,0.9192510876494185,0.8957526106651168,0.9567765532418038,0.9378747381295685,0.20236735010745782,0.2085126699360363
49,RL,RL,2,0.13583333333333333,RL,0.1,0.1,0.02,914.7997335112448,915.1957281798874,0.29395471007681656,0.35786072010068454,0.9556121468480733,0.9356983442551473,0.9711731623717509,0.9504709395697528,0.20179508255038098,0.2080802608896195
50,RL,RL,2,0.1175,RL,0.25,0.25,0.65,850.8358527735594,851.1557565459573,0.2898891293643861,0.3258583168143438,0.9456974085200897,0.9327239650911712,0.962124480027678,0.9457345832911971,0.20160233356179583,0.20479116011609028
51,RL,RL,2,0.10083333333333333,Bayesian,0.65,0.25,0.65,758.3305950277927,757.6817671506094,0.31588231779050674,0.35118724231980436,0.9323970392837689,0.91787721088888,0.9692690914061156,0.9569197441576351,0.19680822951066718,0.20338425124073956
52,RL,RL,2,0.11583333333333333,RL,0.3,0.3,0.65,841.4402373740647,841.8585301057967,0.30875230078436533,0.33785062145660993,0.9275343125213936,0.911404932572343,0.9612439752706647,0.9462055853095455,0.20565251007196328,0.21012665952621967
53,RL,RL,2,0.10916666666666666,Bayesian,0.65,0.3,0.65,809.9682407650287,808.7163679287993,0.29757857013816225,0.3306735523633285,0.9400123416929836,0.9265928313982119,0.9658447313309634,0.9519021658518496,0.200910201163678,0.20417557693786995
54,RL,RL,2,0.10458333333333333,RL,0.2,0.2,0.3,781.4079255845531,781.6068952203871,0.29696750525532767,0.3457848985419113,0.9504349797655961,0.9384546623372656,0.9701279306736263,0.9554428212121119,0.20073912019763618,0.2064996202582106
55,RL,RL,2,0.13916666666666666,RL,0.15,0.15,0.06,943.8834202757639,943.9773636228972,0.2846453900828181,0.3334775696711126,0.9547248149112627,0.9398496608689562,0.9703805491501776,0.953827659935352,0.20008953231632684,0.2051893209369252
56,RL,RL,2,0.10708333333333334,Bayesian,0.65,0.25,0.65,811.2529551655027,810.940586456001,0.3099485669126979,0.3460137910742799,0.9318834763188248,0.9183690656318134,0.958072173955824,0.9416198792515553,0.1949628411955834,0.19916259918042054
57,RL,RL,2,0.1175,Bayesian,0.3,0.2,0.3,859.9591368735132,858.9168730739079,0.292761562500523,0.3370871623706044,0.9492129307292589,0.9363778626298076,0.96964520327458,0.9551258264157818,0.20138378923654493,0.20684044234266785
58,RL,RL,2,0.12,Bayesian,0.3,0.2,0.3,874.0004264762138,873.2563687332429,0.292825847537425,0.3245155375632221,0.9292439341812622,0.9108020108615376,0.9553838802622562,0.936315939227905,0.1998875496431459,0.20479583523966946
59,RL,RL,2,0.1225,RL,0.2,0.2,0.2,882.24501985678,882.4569772646109,0.30634924940535035,0.3433453928610195,0.931197291417834,0.9103519147447713,0.9593918082621448,0.939895615569419,0.19757535474818344,0.20331243628375964
60,RL,RL,2,0.10541666666666667,RL,0.4,0.4,0.65,783.586216170544,786.6745430312022,0.2972909838723775,0.3372620149040155,0.9412286354398905,0.9251162324622554,0.9613407643742747,0.9448849335055853,0.1976211028325815,0.20567916026353944
61,RL,RL,2,0.13041666666666665,Bayesian,0.3,0.2,0.3,893.8153100622344,893.3430874478951,0.2935431112605315,0.3349024584436874,0.9532343129999737,0.9405728195541732,0.9688978646738575,0.9539415683986632,0.20160560216178447,0.2069128184011354
62,RL,RL,2,0.11041666666666666,Bayesian,0.45,0.2,0.45,812.4059752358546,812.0707056803828,0.32005576980015277,0.35116318873471275,0.9266337883725375,0.9098842765767637,0.9652174149957136,0.9507166654431061,0.1981045765206945,0.204421440395975
63,RL,RL,2,0.12916666666666668,Bayesian,0.3,0.15,0.3,904.1206443396057,903.5539644336517,0.3162327581640862,0.3544590053585751,0.9464806265517945,0.9309252441711182,0.9670942114969366,0.9505781878416346,0.1974298576725746,0.20331597999028003
64,RL,RL,2,0.11125,Bayesian,0.65,0.25,0.65,817.5781170202184,817.4233298037891,0.29108176562952015,0.33441594168940264,0.9460760337343135,0.9319406071039074,0.9655791737696608,0.9499213689133724,0.2039727493011653,0.20814118292876843
65,RL,RL,2,0.1075,Bayesian,0.65,0.25,0.65,811.7827517066022,811.3604175890823,0.2923690968835098,0.3349637198010277,0.940696583198472,0.923692312905674,0.9662961721782162,0.9499049142721455,0.19852281625937643,0.20363050141789588
66,RL,RL,2,0.11833333333333333,Bayesian,0.65,0.3,0.65,842.6291257182569,842.5677367294179,0.2966832978630575,0.3326410988125361,0.9490030373830722,0.9332296695472381,0.9678546996985745,0.9528474631866363,0.20683278930468774,0.21273278338518736
67,RL,RL,2,0.12333333333333334,Bayesian,0.65,0.25,0.65,863.8265851280579,863.3091115115737,0.29867194518511025,0.33002240719510434,0.9334974809568568,0.9154381808646372,0.9640996332698898,0.948693714238608,0.197789620193282,0.20247723932448627
68,RL,RL,2,0.10291666666666667,RL,0.3,0.3,0.65,770.7815382466667,771.6947711330388,0.30418986547426036,0.3411802305314943,0.933400415152092,0.9183947624424188,0.9663788603349873,0.953416006278095,0.19748165902081524,0.20286264339763418
69,RL,RL,2,0.11541666666666667,RL,0.3,0.3,0.65,825.297630228757,826.5776106233598,0.2917190315879834,0.3355371125736516,0.9541042361627987,0.9410794002935072,0.9689414981705211,0.9533446739622373,0.20108415607827798,0.20760957086010146
70,RL,RL,2,0.11833333333333333,Bayesian,0.02,0.1,0.02,863.0492872563054,862.8362317975843,0.2975707121489015,0.33144098228012686,0.9291828722212161,0.9124640534484467,0.9638254406355229,0.9485498629564849,0.19838371817582973,0.2038943786326182
71,RL,RL,2,0.11875,RL,0.4,0.4,0.65,852.4885751872658,854.233749935394,0.301035187947356,0.3387119368099371,0.9342676896217115,0.9136853948514504,0.95786676045141,0.937967181537029,0.20127374734097103,0.20638689060544255
72,RL,RL,2,0.12833333333333333,RL,0.4,0.4,0.65,888.1429666245485,889.0297776119749,0.29634727790371296,0.3353863634085136,0.9444304562088233,0.9315470044937835,0.9603734714761185,0.9446057877124707,0.20128110558519943,0.20584449999462479
73,RL,RL,2,0.10875,RL,0.25,0.25,0.65,796.131240827373,796.1401075834601,0.29892598809322607,0.339636138771816,0.9516790674676627,0.9356228517917747,0.9729490994844422,0.9593759697481257,0.20108963063050855,0.20898117774640435
74,RL,RL,2,0.12125,RL,0.25,0.25,0.65,869.9034815100784,870.29004536966,0.3081513156367068,0.34206234570386534,0.9378569624283226,0.9199263659437105,0.9628904898419498,0.9453893648846852,0.20564194260780796,0.21077524591923363
75,RL,RL,2,0.11125,Bayesian,0.65,0.2,0.65,834.4373172039959,833.9725998894922,0.29716284755006694,0.3415522811257668,0.9498667678323948,0.935728320715619,0.966482448956199,0.9503273156911571,0.19586327598320288,0.2017491955240214
76,RL,RL,2,0.09458333333333334,RL,0.3,0.3,0.65,735.0866880968786,735.9388494331871,0.30354676163338,0.34393962534750744,0.9376203900325153,0.9242670325128262,0.9646762662500776,0.9495875052421312,0.19614755378114757,0.20143335790188444
77,RL,RL,2,0.11625,RL,0.3,0.3,0.65,838.011101154228,838.330717661812,0.29794052019763073,0.33192900172977063,0.9372445142946418,0.9201367335636407,0.9618658899230083,0.9450991170701234,0.1944994752337658,0.19960561138895655
78,RL,RL,2,0.11041666666666666,RL,0.3,0.3,0.65,813.8501880882707,814.3124638678472,0.30108297051487837,0.3395730206897974,0.9296184839215327,0.9095984140131199,0.9578933251707662,0.9380922793248008,0.2011579696965971,0.20696339553530274
79,RL,RL,2,0.11833333333333333,Bayesian,0.65,0.2,0.65,856.8688699410608,856.3631839951831,0.31945658070651795,0.3548053655342818,0.9283859761373028,0.9076860872950057,0.964020555949618,0.9457341749400079,0.19822668659583237,0.2035357625914889
80,RL,RL,2,0.11083333333333334,Bayesian,0.65,0.25,0.65,825.2166998010327,824.7342916293322,0.29729009968002423,0.34043842899224114,0.9399429655057294,0.9223033360690169,0.9697489297105887,0.9548934414400053,0.20071822681969032,0.2080208353108121
81,RL,RL,2,0.12125,Bayesian,0.65,0.25,0.65,864.1196970988556,863.2790755596103,0.30100223438004103,0.3294543563484035,0.9450693881258369,0.9310776570783056,0.9672164362338681,0.9520285523925585,0.19656264575729324,0.2022114959883111
82,RL,RL,2,0.10375,Bayesian,0.65,0.3,0.65,785.5875873634449,785.1058444752584,0.30697833409486597,0.34736444187589605,0.9371416736178556,0.9195726030084199,0.9632394111969481,0.9458635516531534,0.197251906288055,0.2025125423532909
83,RL,RL,2,0.11583333333333333,RL,0.25,0.25,0.65,818.0078776359994,818.5878095855862,0.3028120976884961,0.34461952146374014,0.9486414584102459,0.9356224954777532,0.9663123347462973,0.950913367285736,0.19590309055705304,0.20171507455350046
84,RL,RL,2,0.11041666666666666,RL,0.25,0.25,0.65,800.2223539737715,800.4462700476569,0.2938891724838347,0.33077030993356765,0.944616697490389,0.9295824018116389,0.9683863644381803,0.9529960236186195,0.2034123071080514,0.21184798723125228
85,RL,RL,2,0.12583333333333332,RL,0.3,0.3,0.65,870.2192419314538,870.744663548174,0.2863759786168103,0.3294184732931476,0.9462611664625564,0.9305022316914424,0.9592202231347778,0.9409825533217112,0.19952515349283786,0.20411914082668314
