replication,learner_family,scheduler_family,n_stages,observation_condition,intercept_shift,state_slope_multiplier,failure_rate,candidate_family,best_parameter,true_parameter,parameter_error,nll,selected_family,family_recovered,state_rmse,state_correlation,unsigned_pe_correlation
0,RL,RL,8,correct,0.0,1.0,0.09260416666666667,RL,0.25,0.25,0.0,2827.530862384017,RL,true,0.2417201470259402,0.9756880211739007,0.9906039676592147
0,RL,RL,8,correct,0.0,1.0,0.09260416666666667,Bayesian,0.65,0.25,0.4,2831.5333098623573,RL,true,0.37914124843597513,0.961138643405207,0.9847086917098266
0,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.09260416666666667,RL,0.2,0.25,-0.04999999999999999,2848.159185812287,Bayesian,false,0.36304473938924064,0.9612694819490569,0.9821716641918963
0,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.09260416666666667,Bayesian,0.45,0.25,0.2,2846.6436380285877,Bayesian,false,0.44715980778392495,0.9622599337921005,0.9876137212886801
0,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.09260416666666667,RL,0.3,0.25,0.04999999999999999,2839.8521183110483,RL,true,0.35781187724075364,0.9771049091471309,0.9902707377235065
0,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.09260416666666667,Bayesian,0.65,0.25,0.4,2863.1765085290895,RL,true,0.37914124843597513,0.961138643405207,0.9847086917098266
0,RL,RL,8,state_slope_0.80,0.0,0.8,0.09260416666666667,RL,0.3,0.25,0.04999999999999999,2826.937109464282,RL,true,0.35781187724075364,0.9771049091471309,0.9902707377235065
0,RL,RL,8,state_slope_0.80,0.0,0.8,0.09260416666666667,Bayesian,0.65,0.25,0.4,2852.4340293603723,RL,true,0.37914124843597513,0.961138643405207,0.9847086917098266
0,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.09260416666666667,RL,0.4,0.25,0.15000000000000002,2854.232613065702,RL,true,0.8369915343000149,0.9563033572762677,0.9752681483503041
0,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.09260416666666667,Bayesian,0.65,0.25,0.4,2920.3066403038756,RL,true,0.37914124843597513,0.961138643405207,0.9847086917098266
1,RL,RL,8,correct,0.0,1.0,0.08583333333333333,RL,0.25,0.25,0.0,2696.8900150623567,RL,true,0.25071669028283045,0.9746217366017774,0.9905790682632074
1,RL,RL,8,correct,0.0,1.0,0.08583333333333333,Bayesian,0.65,0.25,0.4,2700.5342326886334,RL,true,0.40063729240329343,0.9594724037591992,0.9852251481807216
1,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.08583333333333333,RL,0.2,0.25,-0.04999999999999999,2713.8652264365232,Bayesian,false,0.3666355412440801,0.9600527163550648,0.9820084142559975
1,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.08583333333333333,Bayesian,0.45,0.25,0.2,2710.267944555519,Bayesian,false,0.4699658061418199,0.9589385825119389,0.9873464860670859
1,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.08583333333333333,RL,0.3,0.25,0.04999999999999999,2711.2789430993585,RL,true,0.3655553220182829,0.9753557657385559,0.990442322802615
1,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.08583333333333333,Bayesian,0.65,0.25,0.4,2738.183587878446,RL,true,0.40063729240329343,0.9594724037591992,0.9852251481807216
1,RL,RL,8,state_slope_0.80,0.0,0.8,0.08583333333333333,RL,0.3,0.25,0.04999999999999999,2696.574413875386,RL,true,0.3655553220182829,0.9753557657385559,0.990442322802615
1,RL,RL,8,state_slope_0.80,0.0,0.8,0.08583333333333333,Bayesian,0.65,0.25,0.4,2726.5296732870593,RL,true,0.40063729240329343,0.9594724037591992,0.9852251481807216
1,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.08583333333333333,RL,0.4,0.25,0.15000000000000002,2722.9127398316855,RL,true,0.8321662529060663,0.9510948955420291,0.975726919670104
1,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.08583333333333333,Bayesian,0.65,0.25,0.4,2802.057534520323,RL,true,0.40063729240329343,0.9594724037591992,0.9852251481807216
2,RL,RL,8,correct,0.0,1.0,0.07864583333333333,RL,0.3,0.25,0.04999999999999999,2505.8724101035737,RL,true,0.3729773219446183,0.9772735449664979,0.9896851021467516
2,RL,RL,8,correct,0.0,1.0,0.07864583333333333,Bayesian,0.65,0.25,0.4,2520.970772546631,RL,true,0.40061653092245947,0.9615446764088492,0.9840854794011178
2,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.07864583333333333,RL,0.25,0.25,0.0,2514.2269065411037,RL,true,0.2468751462070717,0.9767648349707607,0.990509282460969
2,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.07864583333333333,Bayesian,0.65,0.25,0.4,2514.255283811826,RL,true,0.40061653092245947,0.9615446764088492,0.9840854794011178
2,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.07864583333333333,RL,0.3,0.25,0.04999999999999999,2530.059221098741,RL,true,0.3729773219446183,0.9772735449664979,0.9896851021467516
2,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.07864583333333333,Bayesian,0.65,0.25,0.4,2575.8086516847256,RL,true,0.40061653092245947,0.9615446764088492,0.9840854794011178
2,RL,RL,8,state_slope_0.80,0.0,0.8,0.07864583333333333,RL,0.4,0.25,0.15000000000000002,2512.3528961840425,RL,true,0.8509893566682978,0.9526604318270043,0.9724679697462781
2,RL,RL,8,state_slope_0.80,0.0,0.8,0.07864583333333333,Bayesian,0.65,0.25,0.4,2564.645239676658,RL,true,0.40061653092245947,0.9615446764088492,0.9840854794011178
2,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.07864583333333333,RL,0.4,0.25,0.15000000000000002,2546.4355869732776,RL,true,0.8509893566682978,0.9526604318270043,0.9724679697462781
2,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.07864583333333333,Bayesian,0.65,0.25,0.4,2656.771874518236,RL,true,0.40061653092245947,0.9615446764088492,0.9840854794011178
3,RL,RL,8,correct,0.0,1.0,0.09895833333333333,RL,0.25,0.25,0.0,2933.704345834265,RL,true,0.23108234833403896,0.9785217570244786,0.9908648597291732
3,RL,RL,8,correct,0.0,1.0,0.09895833333333333,Bayesian,0.65,0.25,0.4,2936.708692328107,RL,true,0.36903073227887834,0.9649115101156172,0.9849633242751001
3,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.09895833333333333,RL,0.2,0.25,-0.04999999999999999,2968.9583728548146,Bayesian,false,0.36222089061747625,0.9644865829189093,0.9819541615340583
3,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.09895833333333333,Bayesian,0.65,0.25,0.4,2964.7193329818265,Bayesian,false,0.36903073227887834,0.9649115101156172,0.9849633242751001
3,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.09895833333333333,RL,0.3,0.25,0.04999999999999999,2932.583449993557,RL,true,0.34640480771303084,0.9801295743081656,0.9906139626392019
3,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.09895833333333333,Bayesian,0.65,0.25,0.4,2959.7456361188433,RL,true,0.36903073227887834,0.9649115101156172,0.9849633242751001
3,RL,RL,8,state_slope_0.80,0.0,0.8,0.09895833333333333,RL,0.3,0.25,0.04999999999999999,2929.3301145165888,RL,true,0.34640480771303084,0.9801295743081656,0.9906139626392019
3,RL,RL,8,state_slope_0.80,0.0,0.8,0.09895833333333333,Bayesian,0.65,0.25,0.4,2958.277618902811,RL,true,0.36903073227887834,0.9649115101156172,0.9849633242751001
3,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.09895833333333333,RL,0.4,0.25,0.15000000000000002,2938.767802697155,RL,true,0.8321875735292799,0.9609003083317695,0.9752257466551029
3,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.09895833333333333,Bayesian,0.65,0.25,0.4,3016.1942347384806,RL,true,0.36903073227887834,0.9649115101156172,0.9849633242751001
4,RL,RL,8,correct,0.0,1.0,0.08760416666666666,RL,0.25,0.25,0.0,2718.38678643732,RL,true,0.23659372670323886,0.9781500663960345,0.9902963458281855
4,RL,RL,8,correct,0.0,1.0,0.08760416666666666,Bayesian,0.65,0.25,0.4,2724.2791633707975,RL,true,0.36618999978090505,0.9637889257158385,0.984250873701699
4,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.08760416666666666,RL,0.2,0.25,-0.04999999999999999,2729.739437922247,Bayesian,false,0.3589007819115323,0.964177961656488,0.9811262686164713
4,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.08760416666666666,Bayesian,0.45,0.25,0.2,2727.656341747834,Bayesian,false,0.4339111079001298,0.9645238125133178,0.9870712017082798
4,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.08760416666666666,RL,0.3,0.25,0.04999999999999999,2739.0491810314015,RL,true,0.3628789021186655,0.9789637206907663,0.9893903604625388
4,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.08760416666666666,Bayesian,0.65,0.25,0.4,2771.108602351154,RL,true,0.36618999978090505,0.9637889257158385,0.984250873701699
4,RL,RL,8,state_slope_0.80,0.0,0.8,0.08760416666666666,RL,0.3,0.25,0.04999999999999999,2722.428615778976,RL,true,0.3628789021186655,0.9789637206907663,0.9893903604625388
4,RL,RL,8,state_slope_0.80,0.0,0.8,0.08760416666666666,Bayesian,0.65,0.25,0.4,2755.464622385282,RL,true,0.36618999978090505,0.9637889257158385,0.984250873701699
4,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.08760416666666666,RL,0.4,0.25,0.15000000000000002,2750.0037382206046,RL,true,0.8551195174423089,0.9560300780963524,0.971707280223789
4,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.08760416666666666,Bayesian,0.65,0.25,0.4,2837.3747100152054,RL,true,0.36618999978090505,0.9637889257158385,0.984250873701699
5,RL,RL,8,correct,0.0,1.0,0.0865625,RL,0.3,0.25,0.04999999999999999,2674.795332572265,RL,true,0.3652279884007575,0.9783405482628156,0.9888782669622154
5,RL,RL,8,correct,0.0,1.0,0.0865625,Bayesian,0.65,0.25,0.4,2692.9066375469097,RL,true,0.3485645654027641,0.9641333295519875,0.9837780448607645
5,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.0865625,RL,0.2,0.25,-0.04999999999999999,2683.8924467002244,RL,true,0.3633293553079382,0.9613270338171334,0.9786537663568939
5,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.0865625,Bayesian,0.45,0.25,0.2,2690.415367685025,RL,true,0.41910393109448935,0.9651048935250239,0.986158762775321
5,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.0865625,RL,0.3,0.25,0.04999999999999999,2698.2063613963132,RL,true,0.3652279884007575,0.9783405482628156,0.9888782669622154
5,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.0865625,Bayesian,0.65,0.25,0.4,2745.4635477310926,RL,true,0.3485645654027641,0.9641333295519875,0.9837780448607645
5,RL,RL,8,state_slope_0.80,0.0,0.8,0.0865625,RL,0.4,0.25,0.15000000000000002,2684.7937423151984,RL,true,0.8658908320322388,0.9606407474003754,0.9732210267833289
5,RL,RL,8,state_slope_0.80,0.0,0.8,0.0865625,Bayesian,0.65,0.25,0.4,2730.6967975841158,RL,true,0.3485645654027641,0.9641333295519875,0.9837780448607645
5,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.0865625,RL,0.4,0.25,0.15000000000000002,2713.488251807,RL,true,0.8658908320322388,0.9606407474003754,0.9732210267833289
5,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.0865625,Bayesian,0.65,0.25,0.4,2817.7078290906275,RL,true,0.3485645654027641,0.9641333295519875,0.9837780448607645
6,RL,RL,8,correct,0.0,1.0,0.09479166666666666,RL,0.25,0.25,0.0,2835.425796579008,RL,true,0.2335665654409747,0.978452259038135,0.990212022222509
6,RL,RL,8,correct,0.0,1.0,0.09479166666666666,Bayesian,0.65,0.25,0.4,2836.5252244721455,RL,true,0.3614141862371594,0.9648636310013948,0.9839449468201649
6,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.09479166666666666,RL,0.2,0.25,-0.04999999999999999,2862.7914995123638,Bayesian,false,0.3599102216101476,0.9640054394310685,0.9805289721729878
6,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.09479166666666666,Bayesian,0.65,0.25,0.4,2854.41039840474,Bayesian,false,0.3614141862371594,0.9648636310013948,0.9839449468201649
6,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.09479166666666666,RL,0.3,0.25,0.04999999999999999,2842.0590720879554,RL,true,0.35797643666256096,0.979814409748619,0.9899582032028602
6,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.09479166666666666,Bayesian,0.65,0.25,0.4,2869.6319691664817,RL,true,0.3614141862371594,0.9648636310013948,0.9839449468201649
6,RL,RL,8,state_slope_0.80,0.0,0.8,0.09479166666666666,RL,0.3,0.25,0.04999999999999999,2836.6404816635977,RL,true,0.35797643666256096,0.979814409748619,0.9899582032028602
6,RL,RL,8,state_slope_0.80,0.0,0.8,0.09479166666666666,Bayesian,0.65,0.25,0.4,2865.9552492838957,RL,true,0.3614141862371594,0.9648636310013948,0.9839449468201649
6,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.09479166666666666,RL,0.4,0.25,0.15000000000000002,2850.238859748389,RL,true,0.852673836791423,0.959285229004441,0.973555148088057
6,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.09479166666666666,Bayesian,0.65,0.25,0.4,2933.509532668612,RL,true,0.3614141862371594,0.9648636310013948,0.9839449468201649
7,RL,RL,8,correct,0.0,1.0,0.08875,RL,0.25,0.25,0.0,2779.9836973815595,RL,true,0.2380554762789912,0.975831720402048,0.9897742257553908
7,RL,RL,8,correct,0.0,1.0,0.08875,Bayesian,0.65,0.25,0.4,2785.9409860498904,RL,true,0.35457276350081857,0.9624674923519634,0.9847689774187498
7,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.08875,RL,0.2,0.25,-0.04999999999999999,2787.117905108911,Bayesian,false,0.3585289353432726,0.960295195686081,0.9799080977985017
7,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.08875,Bayesian,0.3,0.25,0.04999999999999999,2786.7892298696966,Bayesian,false,0.5098081437178715,0.9551293853890731,0.9831826934603156
7,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.08875,RL,0.3,0.25,0.04999999999999999,2804.586948742528,RL,true,0.3650243564801379,0.9776327468696032,0.9898391107604266
7,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.08875,Bayesian,0.65,0.25,0.4,2829.7917320854062,RL,true,0.35457276350081857,0.9624674923519634,0.9847689774187498
7,RL,RL,8,state_slope_0.80,0.0,0.8,0.08875,RL,0.3,0.25,0.04999999999999999,2782.2249609650253,RL,true,0.3650243564801379,0.9776327468696032,0.9898391107604266
7,RL,RL,8,state_slope_0.80,0.0,0.8,0.08875,Bayesian,0.65,0.25,0.4,2808.4331471221512,RL,true,0.35457276350081857,0.9624674923519634,0.9847689774187498
7,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.08875,RL,0.4,0.25,0.15000000000000002,2819.378096660554,RL,true,0.8612057958007389,0.9559950716764803,0.9743390886932533
7,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.08875,Bayesian,0.65,0.25,0.4,2887.6078530439254,RL,true,0.35457276350081857,0.9624674923519634,0.9847689774187498
8,RL,RL,8,correct,0.0,1.0,0.0875,RL,0.25,0.25,0.0,2695.0878964054796,RL,true,0.24699724936066605,0.9779899285255657,0.9919860595639662
8,RL,RL,8,correct,0.0,1.0,0.0875,Bayesian,0.65,0.25,0.4,2698.708152548392,RL,true,0.4330507084088957,0.9629705902445675,0.9857926140443849
8,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.0875,RL,0.2,0.25,-0.04999999999999999,2717.139552599423,Bayesian,false,0.37050633649783715,0.9653817844558094,0.9844920919912801
8,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.0875,Bayesian,0.45,0.25,0.2,2713.3349078839346,Bayesian,false,0.5018486630387338,0.9635409798668274,0.9887615821250019
8,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.0875,RL,0.3,0.25,0.04999999999999999,2705.2467959754167,RL,true,0.35541637052587144,0.9777975424021242,0.9913094043317484
8,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.0875,Bayesian,0.65,0.25,0.4,2730.0359378743055,RL,true,0.4330507084088957,0.9629705902445675,0.9857926140443849
8,RL,RL,8,state_slope_0.80,0.0,0.8,0.0875,RL,0.3,0.25,0.04999999999999999,2698.900852235007,RL,true,0.35541637052587144,0.9777975424021242,0.9913094043317484
8,RL,RL,8,state_slope_0.80,0.0,0.8,0.0875,Bayesian,0.65,0.25,0.4,2728.296163691418,RL,true,0.4330507084088957,0.9629705902445675,0.9857926140443849
8,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.0875,RL,0.4,0.25,0.15000000000000002,2724.021814219428,RL,true,0.8135934435483693,0.9513278414475462,0.9761004485407923
8,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.0875,Bayesian,0.65,0.25,0.4,2797.637359455331,RL,true,0.4330507084088957,0.9629705902445675,0.9857926140443849
9,RL,RL,8,correct,0.0,1.0,0.09885416666666667,RL,0.25,0.25,0.0,2933.657673828971,RL,true,0.2392536828211356,0.9767463119657099,0.9891382861913895
9,RL,RL,8,correct,0.0,1.0,0.09885416666666667,Bayesian,0.65,0.25,0.4,2934.709447764986,RL,true,0.35724932088620337,0.9622714911303898,0.9828630716193598
9,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.09885416666666667,RL,0.2,0.25,-0.04999999999999999,2959.018530695727,Bayesian,false,0.35904326502756817,0.9624716733071011,0.9795451220431508
9,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.09885416666666667,Bayesian,0.45,0.25,0.2,2955.2808478260054,Bayesian,false,0.42231238905997176,0.9636296301554512,0.9859108552610275
9,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.09885416666666667,RL,0.3,0.25,0.04999999999999999,2942.317756745083,RL,true,0.3613565203282936,0.978607185924051,0.9890073053527496
9,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.09885416666666667,Bayesian,0.65,0.25,0.4,2962.9204164005887,RL,true,0.35724932088620337,0.9622714911303898,0.9828630716193598
