architecture,mechanism,adaptivity,context_strength,observation_strength,replication,parameter,truth,estimate,se,covered,observed_rate
spaced,clean,0.0,0.0,0.0,0,delay_slope,0.25,0.16015487753538418,0.06749867646157953,true,1.0
spaced,clean,0.0,0.0,0.0,0,state_slope,-0.55,-0.6191901445374315,0.09085891207616585,true,1.0
spaced,clean,0.0,0.0,0.0,0,previous_failure,0.35,0.15520418558856425,0.18039944959160886,true,1.0
spaced,clean,0.0,0.0,0.0,0,retention,0.75,0.7674862240125624,0.07439793970253279,true,1.0
spaced,clean,0.0,0.0,0.0,1,delay_slope,0.25,0.23331569299771127,0.06475226076034456,true,1.0
spaced,clean,0.0,0.0,0.0,1,state_slope,-0.55,-0.6727808399525019,0.07740401765474615,true,1.0
spaced,clean,0.0,0.0,0.0,1,previous_failure,0.35,0.3158956576152152,0.15546638423999534,true,1.0
spaced,clean,0.0,0.0,0.0,1,retention,0.75,0.7937984035357012,0.04944408225600824,true,1.0
spaced,clean,0.0,0.0,0.0,2,delay_slope,0.25,0.20227569978522003,0.06972220355938438,true,1.0
spaced,clean,0.0,0.0,0.0,2,state_slope,-0.55,-0.5461293864039456,0.0823868520893419,true,1.0
spaced,clean,0.0,0.0,0.0,2,previous_failure,0.35,0.5076377142064942,0.15953552230586251,true,1.0
spaced,clean,0.0,0.0,0.0,2,retention,0.75,0.7759862494232356,0.0607449636967485,true,1.0
spaced,clean,0.0,0.0,0.0,3,delay_slope,0.25,0.38221855402914184,0.06698707769729892,false,1.0
spaced,clean,0.0,0.0,0.0,3,state_slope,-0.55,-0.7758548274522008,0.09851494942070674,false,1.0
spaced,clean,0.0,0.0,0.0,3,previous_failure,0.35,-0.00787141371099678,0.18522804907730867,true,1.0
spaced,clean,0.0,0.0,0.0,3,retention,0.75,0.5783339759439914,0.0715693386691384,false,1.0
spaced,clean,0.0,0.0,0.0,4,delay_slope,0.25,0.23233413389851482,0.06840429121626848,true,1.0
spaced,clean,0.0,0.0,0.0,4,state_slope,-0.55,-0.6112363565114826,0.07816772393566436,true,1.0
spaced,clean,0.0,0.0,0.0,4,previous_failure,0.35,0.46041667532594505,0.16656283855593448,true,1.0
spaced,clean,0.0,0.0,0.0,4,retention,0.75,0.8003145032060616,0.052575690494056665,true,1.0
spaced,clean,0.0,0.0,0.0,5,delay_slope,0.25,0.3823934958623501,0.06256346386097059,false,1.0
spaced,clean,0.0,0.0,0.0,5,state_slope,-0.55,-0.6664306658171142,0.09340222019791836,true,1.0
spaced,clean,0.0,0.0,0.0,5,previous_failure,0.35,0.2834576519441503,0.1653257577555714,true,1.0
spaced,clean,0.0,0.0,0.0,5,retention,0.75,0.7135670153328224,0.06893956105247274,true,1.0
spaced,clean,0.0,0.0,0.0,6,delay_slope,0.25,0.19399219158536168,0.07153013070282321,true,1.0
spaced,clean,0.0,0.0,0.0,6,state_slope,-0.55,-0.5247028901613037,0.09537469803677714,true,1.0
spaced,clean,0.0,0.0,0.0,6,previous_failure,0.35,0.6549892807747706,0.1622063149306772,true,1.0
spaced,clean,0.0,0.0,0.0,6,retention,0.75,0.6504396100904911,0.0843029513237369,true,1.0
spaced,clean,0.0,0.0,0.0,7,delay_slope,0.25,0.19006871207865808,0.07112775812580238,true,1.0
spaced,clean,0.0,0.0,0.0,7,state_slope,-0.55,-0.453658899191249,0.08254922907853281,true,1.0
spaced,clean,0.0,0.0,0.0,7,previous_failure,0.35,0.7229542320329401,0.15607988933429076,false,1.0
spaced,clean,0.0,0.0,0.0,7,retention,0.75,0.807453952635298,0.06826818487801173,true,1.0
spaced,clean,0.0,0.0,0.0,8,delay_slope,0.25,0.294239547331501,0.06280754633210361,true,1.0
spaced,clean,0.0,0.0,0.0,8,state_slope,-0.55,-0.5370606359055632,0.07534926716743108,true,1.0
spaced,clean,0.0,0.0,0.0,8,previous_failure,0.35,0.1778647730159752,0.16414918376452048,true,1.0
spaced,clean,0.0,0.0,0.0,8,retention,0.75,0.790353417348323,0.06038953852679107,true,1.0
spaced,clean,0.0,0.0,0.0,9,delay_slope,0.25,0.2578951705194806,0.06479463656915994,true,1.0
spaced,clean,0.0,0.0,0.0,9,state_slope,-0.55,-0.6318954493847544,0.07349129879036521,true,1.0
spaced,clean,0.0,0.0,0.0,9,previous_failure,0.35,0.24687147149843555,0.16428552063219973,true,1.0
spaced,clean,0.0,0.0,0.0,9,retention,0.75,0.7448053008353991,0.052224219315399646,true,1.0
spaced,clean,0.0,0.0,0.0,10,delay_slope,0.25,0.2384298798846329,0.06198201713039993,true,1.0
spaced,clean,0.0,0.0,0.0,10,state_slope,-0.55,-0.46161101001399246,0.07453221108124379,true,1.0
spaced,clean,0.0,0.0,0.0,10,previous_failure,0.35,0.33993576745632625,0.15935752053917468,true,1.0
spaced,clean,0.0,0.0,0.0,10,retention,0.75,0.807509158445767,0.06984113144858316,true,1.0
spaced,clean,0.0,0.0,0.0,11,delay_slope,0.25,0.15504615487579276,0.06674645636619334,true,1.0
spaced,clean,0.0,0.0,0.0,11,state_slope,-0.55,-0.43541656173299115,0.07470217221652632,true,1.0
spaced,clean,0.0,0.0,0.0,11,previous_failure,0.35,0.6686440306861506,0.15177044207631354,false,1.0
spaced,clean,0.0,0.0,0.0,11,retention,0.75,0.8964482470943044,0.06475550484641192,false,1.0
spaced,clean,0.0,0.0,0.0,12,delay_slope,0.25,0.144014435438441,0.07452108955744978,true,1.0
spaced,clean,0.0,0.0,0.0,12,state_slope,-0.55,-0.5736150290674695,0.0970407717040313,true,1.0
spaced,clean,0.0,0.0,0.0,12,previous_failure,0.35,0.41658208999813,0.18687535049176046,true,1.0
spaced,clean,0.0,0.0,0.0,12,retention,0.75,0.7528510626126441,0.07539434034552639,true,1.0
