"architecture","mechanism","adaptivity","context_strength","observation_strength","parameter","n_replications","mean_truth","mean_estimate","bias","empirical_sd","mcse_mean","mean_model_se","model_se_ratio","mean_observed_rate","coverage","coverage_mcse","sign_error","rejection","power","mean_df"
"spaced","clean",0,0,0,"delay_slope",400,0.25,0.246047665572642,-0.00395233442735772,0.0676275276816125,0.00338137638408062,0.0670033970491661,0.99077105649367,1,0.935,0.012326293035621,NA,NA,NA,NA
"spaced","clean",0,0,0,"previous_failure",400,0.35,0.331178199357948,-0.0188218006420522,0.181117535543799,0.00905587677718997,0.170310422102491,0.940330938090228,1,0.9375,0.0121030729568982,NA,NA,NA,NA
"spaced","clean",0,0,0,"retention",400,0.75,0.746127858627831,-0.0038721413721691,0.0785527823625843,0.00392763911812922,0.0735391478182113,0.936174959134724,1,0.94,0.0118743420870379,NA,NA,NA,NA
"spaced","clean",0,0,0,"state_slope",400,-0.55,-0.559157820587036,-0.00915782058703635,0.0918957105791458,0.00459478552895729,0.0884237756004624,0.962218748222277,1,0.9275,0.0129656999425407,NA,NA,NA,NA
"spaced","clean",0.7,0,0,"delay_slope",400,0.25,0.246909412560423,-0.00309058743957732,0.0678268406855055,0.00339134203427527,0.0688003371010135,1.01435267227058,1,0.955,0.0103652062208139,NA,NA,NA,NA
"spaced","clean",0.7,0,0,"previous_failure",400,0.35,0.331011552327428,-0.0189884476725719,0.176788012025073,0.00883940060125364,0.174670109191536,0.988020099274401,1,0.945,0.011399013115178,NA,NA,NA,NA
"spaced","clean",0.7,0,0,"retention",400,0.75,0.75085263377169,0.00085263377168949,0.0826233001452434,0.00413116500726217,0.0780283760938982,0.944387067046854,1,0.94,0.0118743420870379,NA,NA,NA,NA
"spaced","clean",0.7,0,0,"state_slope",400,-0.55,-0.549993778881405,6.22111859540482e-06,0.114397173484695,0.00571985867423473,0.116574192362704,1.01903035548602,1,0.95,0.0108972473588517,NA,NA,NA,NA
"tutor","clean",0,0,0,"difficulty_slope",400,-1,-0.990921204531209,0.00907879546879122,0.22114656561548,0.011057328280774,0.227261296514363,1.027650128239,1,0.9575,0.0100863459686846,NA,NA,NA,NA
"tutor","clean",0,0,0,"intercept",400,0.35,0.352589382738671,0.0025893827386712,0.107865612089674,0.00539328060448368,0.107730079983071,0.998743509595162,1,0.9575,0.0100863459686846,NA,NA,NA,NA
"tutor","clean",0,0,0,"state_slope",400,1,1.00400953024462,0.00400953024461669,0.0908284352013069,0.00454142176006534,0.0927186981993198,1.02081135708023,1,0.9575,0.0100863459686846,NA,NA,NA,NA
"tutor","clean",0,0,0,"update_gain",400,0.3,0.28634207285656,-0.0136579271434405,0.0848428451654714,0.00424214225827357,0.087882464363434,1.035826464707,1,0.9475,0.0111516534648455,NA,NA,NA,NA
"tutor","clean",0.7,0,0,"difficulty_slope",400,-1,-1.01961389019522,-0.0196138901952211,0.203851408203388,0.0101925704101694,0.199401722158219,0.978171914119281,1,0.94,0.0118743420870379,NA,NA,NA,NA
"tutor","clean",0.7,0,0,"intercept",400,0.35,0.345148757924677,-0.00485124207532346,0.103873706209673,0.00519368531048365,0.0988839763970592,0.951963494952786,1,0.935,0.012326293035621,NA,NA,NA,NA
"tutor","clean",0.7,0,0,"state_slope",400,1,1.01068550500255,0.0106855050025539,0.166957775186903,0.00834788875934517,0.16055590552132,0.961655756023241,1,0.945,0.011399013115178,NA,NA,NA,NA
"tutor","clean",0.7,0,0,"update_gain",400,0.3,0.289602544090703,-0.0103974559092973,0.0811920344132038,0.00405960172066019,0.0809977798363365,0.99760746755182,1,0.95,0.0108972473588517,NA,NA,NA,NA
