architecture,n_people,compliance,replication,truth,estimate,se,df,covered,detected
spaced,30,0.7,0,0.010422721062445586,0.008119044049908961,0.008006772598517304,28.99960979149392,true,false
spaced,30,0.7,1,0.009692717852678952,0.003277135115342074,0.008193815152601855,28.99983904679063,true,false
spaced,30,0.7,2,0.009830949696646156,-0.004955200819768042,0.009195115974314593,28.998761883956067,true,false
spaced,30,0.7,3,0.009891754660268634,0.014169935314587368,0.006413084540958295,28.99958660794825,true,true
spaced,30,0.7,4,0.010666630956324127,0.019705827368012685,0.007912085840360118,28.999930527581544,true,true
spaced,30,0.7,5,0.009544055161215485,0.006200043577454,0.007626911014352875,28.998790620641696,true,false
spaced,30,0.7,6,0.009428175517399948,-0.002801104574425241,0.0067212570647249646,28.99970670334978,true,false
spaced,30,0.7,7,0.010745073402228715,0.015827257481724314,0.008361859920429994,28.999557486348756,true,false
spaced,30,0.7,8,0.009800734796871947,0.02425920447428117,0.007965228581087613,28.999500894283976,true,true
spaced,30,0.7,9,0.00976397668108584,0.015561208194975917,0.008418395286335124,28.999289730830707,true,false
spaced,30,0.7,10,0.009710585058274861,0.021929772533546305,0.00991316573189333,28.99962644673197,true,true
spaced,30,0.7,11,0.010289268293669218,0.01281794802872857,0.008677542711374896,28.999792474185178,true,false
spaced,30,0.7,12,0.009726136005861575,0.014045454205788014,0.007154992136613592,28.998910358513104,true,false
spaced,30,0.7,13,0.010360392620869087,0.008585662594552648,0.006640297207160271,28.99981407348945,true,false
spaced,30,0.7,14,0.009938942209549412,0.019970296043343775,0.007435451414085122,28.999226550633193,true,true
spaced,30,0.7,15,0.010134078140457218,0.014619449735545608,0.006299968760470882,28.99967730483794,true,true
spaced,30,0.7,16,0.009738877335354838,-0.0007995873205697485,0.008201539649065791,28.999209960999227,true,false
spaced,30,0.7,17,0.009779001293977335,0.010382659617288013,0.008389289094989372,28.998575681838773,true,false
spaced,30,0.7,18,0.009582974004742145,0.014106678538245153,0.007555239788703334,28.99969268823054,true,false
spaced,30,0.7,19,0.00988389383886985,0.004002834052693761,0.00794546516686303,28.99982479744222,true,false
spaced,30,0.7,20,0.01063814029728046,0.0010122475923795401,0.008395212791501672,28.999634282207325,true,false
spaced,30,0.7,21,0.009862132966726656,0.010831773317907288,0.008839766334335985,28.99973604854504,true,false
spaced,30,0.7,22,0.009861493456636753,0.01895208093162595,0.006781523932122381,28.999658914240246,true,true
spaced,30,0.7,23,0.010389234840214897,0.023011768256647955,0.008407927249383367,28.9994947453905,true,true
spaced,30,0.7,24,0.009673725365112991,0.01934900618185376,0.005724747539329737,28.99900590823276,true,true
spaced,30,0.7,25,0.009736467874503362,-0.00042630525009786644,0.00801397537248672,28.998926381964818,true,false
spaced,30,0.7,26,0.01001812928582682,0.015526095683956185,0.006570213655433896,28.999792920664753,true,true
spaced,30,0.7,27,0.010002693631547294,0.02545709628342294,0.006702013173380407,28.999653920946507,false,true
spaced,30,0.7,28,0.009890022243138279,0.00489110098600291,0.006594368208758977,28.999214803819104,true,false
spaced,30,0.7,29,0.0096970136454182,0.0040721036357041895,0.0070113521475826295,28.999851309170054,true,false
spaced,30,0.7,30,0.009639181479810794,0.006283673782246439,0.008077931799247439,28.999452692323164,true,false
spaced,30,0.7,31,0.010026467096115814,0.0011891069025153091,0.007255131600199317,28.999868667758776,true,false
spaced,30,0.7,32,0.010281085444857287,0.018503683827457148,0.006151293408603189,28.999272359532338,true,true
spaced,30,0.7,33,0.009662350516546597,-0.004558032808226849,0.007857256797581563,28.999428172885295,true,false
spaced,30,0.7,34,0.009771768935660704,0.013692317711008624,0.007052987230218832,28.999811700792574,true,false
spaced,30,0.7,35,0.010394287003464698,0.014163342021306521,0.00973011769041698,28.999908529843495,true,false
spaced,30,0.7,36,0.009920933552064925,0.01170489575193255,0.007444541989858398,28.99935686751231,true,false
spaced,30,0.7,37,0.009706307415735369,0.0033086215368029457,0.008849740821458188,28.999444409504427,true,false
spaced,30,0.7,38,0.009771043029760144,0.016304561775812076,0.007993832096519748,28.99934487768735,true,false
spaced,30,0.7,39,0.009440005085600554,0.010452048271647392,0.007565600064166277,28.9998772333519,true,false
