architecture,n_people,replication,truth,estimate,se,df,covered,detected,rejected
spaced,12,0,0.013607779108524828,0.004968904295705232,0.007807825883441647,10.999853801163775,true,false,false
spaced,12,1,0.013945546591722015,0.033007689747748106,0.013676261923738667,10.999883010088412,true,true,true
spaced,12,2,0.01386078243614338,0.01713018058850228,0.014483451584170992,10.999563635546695,true,false,false
spaced,12,3,0.013432610279592628,0.009342533539293487,0.006270628284034024,10.999842968853262,true,false,false
spaced,12,4,0.013357779472859873,0.004633241706543277,0.01452448485444676,10.999987789547868,true,false,false
spaced,12,5,0.014719560845860128,0.021558106232417627,0.009238300083860335,10.99993973655095,true,true,true
spaced,12,6,0.015190601014986437,0.018884429082733557,0.01833528402657664,10.999873162471147,true,false,false
spaced,12,7,0.01466995498604424,0.03154144881216301,0.011330183308853511,10.999544622506244,true,true,true
spaced,12,8,0.01409253771291968,0.007381528597873154,0.012257474537268562,10.99951451556851,true,false,false
spaced,12,9,0.013346903064110472,0.01738913684526551,0.015344083656416825,10.99965859588638,true,false,false
spaced,12,10,0.014457403451622112,0.0254791031271253,0.01022918748601166,10.999968911827793,true,true,true
spaced,12,11,0.014712780555990772,0.017393831600969203,0.01470905911662364,10.99941830398243,true,false,false
spaced,12,12,0.014133876510871618,0.026328122829902188,0.010657040915751897,10.999134407975575,true,true,true
spaced,12,13,0.014516363964411937,0.008178672519031349,0.00953791392295288,10.999813730675747,true,false,false
spaced,12,14,0.013758092548250006,0.010585179405075154,0.009487266102970179,10.999773743387196,true,false,false
spaced,12,15,0.01447001957417429,-0.014771286739088424,0.01626561210190577,10.999859454783806,true,false,false
spaced,12,16,0.014238339527025566,-0.00294714070841858,0.015456548182706363,10.999869266185513,true,false,false
spaced,12,17,0.013941218616928642,0.0025542879330935735,0.014861888846908922,10.999705001645639,true,false,false
spaced,12,18,0.014434917383197365,0.0043450383696541995,0.010896319221301895,10.999690937681097,true,false,false
spaced,12,19,0.014074871625693444,-0.030803967602862168,0.011378787395032187,10.999439836027145,false,false,true
spaced,12,20,0.013658776643425725,0.01493776698416178,0.010122153237231743,10.99978805934586,true,false,false
spaced,12,21,0.014484214817801204,0.05555556929823947,0.014869612085558663,10.99962707707994,false,true,true
spaced,12,22,0.013553054013925288,0.018137432894130983,0.015390374791242263,10.999781548188556,true,false,false
spaced,12,23,0.013505026579088326,0.02312011058395791,0.010803534219354127,10.999896198670475,true,false,false
spaced,12,24,0.013635609469923763,0.0028919987972984415,0.01087738695534347,10.999986862426907,true,false,false
spaced,12,25,0.015949783443592668,0.028769698768550827,0.012424424510856727,10.9996062174922,true,true,true
spaced,12,26,0.01411348242674031,0.01861991633662952,0.008191641651012915,10.999868900767218,true,true,true
spaced,12,27,0.014001958325114364,0.020743234034226052,0.010158447792032465,10.99965635159119,true,false,false
spaced,12,28,0.014588428188608248,-0.014367634271355503,0.009396318174730113,10.99985626936659,false,false,false
spaced,12,29,0.01390252758728853,0.029333227528860105,0.014068991157204115,10.99983468999866,true,false,false
spaced,12,30,0.014411056185715978,0.011674102171398897,0.010827920097540049,10.999623814321575,true,false,false
spaced,12,31,0.014910734824488783,0.029747850415173704,0.015588227085287617,10.999778832956075,true,false,false
spaced,12,32,0.016325172001392003,0.007423624593171863,0.012477606287869838,10.999910128424112,true,false,false
spaced,12,33,0.014573199292913218,0.02045635315075423,0.012119907204611898,10.999568892289519,true,false,false
spaced,12,34,0.01461196980548458,-0.019033833270665587,0.012956215822631418,10.999648872816634,false,false,false
spaced,12,35,0.013846241849071102,0.015440651962787336,0.013492315824879432,10.999661140222875,true,false,false
spaced,12,36,0.012394360125047852,0.01233419630992914,0.010028948485371064,10.99934784470774,true,false,false
spaced,12,37,0.013303030441014671,0.02583635121295294,0.008514465707981202,10.999836730919299,true,true,true
spaced,12,38,0.014433801237695568,0.0038678792542274267,0.016354213754187566,10.999623932326914,true,false,false
spaced,12,39,0.014494993220388051,0.02903726467092398,0.006619558394625431,10.999951358593627,true,true,true
spaced,12,40,0.013847610953681694,0.03937624423340824,0.01313087656745836,10.999950053236619,true,true,true
spaced,12,41,0.015052129952670317,-0.00882003102405453,0.00772574243855232,10.999779137082296,false,false,false
spaced,12,42,0.01555795553281701,0.023260095904610166,0.011493301558563106,10.99976154101258,true,false,false
spaced,12,43,0.014264681999777349,0.02828038620492535,0.0131342553889709,10.999460842726393,true,false,false
spaced,12,44,0.014520681611997856,0.042380415118029306,0.01171323173675694,10.999449874679728,false,true,true
spaced,12,45,0.013427497787642002,-0.002578629230853783,0.012078618325563834,10.999752350321334,true,false,false
spaced,12,46,0.013106085123823347,0.00962620413205989,0.008338956379440161,10.999391641138642,true,false,false
spaced,12,47,0.014778067234672261,0.008762286599350614,0.013798534814788543,10.999482360324148,true,false,false
spaced,12,48,0.014270269943144261,0.028857099304231984,0.006195136202414821,10.999877615599772,false,true,true
spaced,12,49,0.014882550728600279,0.005981764361075587,0.019502265630179292,10.999385675468892,true,false,false
spaced,12,50,0.014705614272481805,-0.006844677788196867,0.013440805593116502,10.999167847823378,true,false,false
spaced,12,51,0.014367762522488298,0.014124858486740215,0.01187273822858692,10.999840593741952,true,false,false
spaced,12,52,0.01469516125262185,-0.00013605231378487363,0.0158035773421696,10.99953960962545,true,false,false
spaced,12,53,0.014375398492065134,0.002794704955768631,0.010907671557551457,10.999836626456943,true,false,false
spaced,12,54,0.014953643052465727,0.016161506426823968,0.010277706303482573,10.999823541961977,true,false,false
spaced,12,55,0.014903164160702006,0.012109017010997815,0.01397562212002048,10.999861930377737,true,false,false
spaced,12,56,0.015206896890461381,0.019599450027333508,0.012581581291986494,10.999421461099953,true,false,false
spaced,12,57,0.014464331656894237,0.003409929222520722,0.01586856470013902,10.999693688061283,true,false,false
spaced,12,58,0.01403895325092574,-0.00926158071327393,0.0112831880142228,10.999827853329014,true,false,false
spaced,12,59,0.01440757915989297,0.02203321624802079,0.013202140360578039,10.999637004695867,true,false,false
spaced,12,60,0.014016210854470624,0.024177769073015987,0.008888086923396486,10.999891102289354,true,true,true
spaced,12,61,0.013661105185758174,0.026214108312455867,0.011797995586827724,10.999786383324773,true,true,true
spaced,12,62,0.013429139792198251,0.012634138408151448,0.011483753479229105,10.99959123753539,true,false,false
spaced,12,63,0.013855532339954207,0.0177318202079255,0.014435906512846666,10.999924152961118,true,false,false
spaced,12,64,0.015249052017346821,0.03753769552280262,0.012307016691835858,10.99989370875622,true,true,true
spaced,12,65,0.015463159064891346,0.02869173771032009,0.008618416498556651,10.99967722035063,true,true,true
spaced,12,66,0.014254939656170208,0.020509074619173794,0.017643785886544378,10.999623237095786,true,false,false
spaced,12,67,0.014054858855324613,0.010067898109231916,0.009937769795856005,10.999658514842793,true,false,false
spaced,12,68,0.013632733949650741,0.01667961470593179,0.01755587766944556,10.999852938796574,true,false,false
spaced,12,69,0.014048381517439819,0.027964610007741277,0.011516663980223047,10.999766632844139,true,true,true
spaced,12,70,0.013760182925873403,0.008426605653513542,0.013311992652305272,10.999635202162644,true,false,false
spaced,12,71,0.014324776328227241,0.01056933259566225,0.01063989343520081,10.999579405831948,true,false,false
spaced,12,72,0.014961543248914504,-0.02005102188331016,0.014126640991304259,10.999959505890578,false,false,false
spaced,12,73,0.01444485177733888,0.02898835653650406,0.015483612137127846,10.9991481703902,true,false,false
spaced,12,74,0.01418483590926697,0.00623121979504709,0.011451371408869647,10.99976835334156,true,false,false
spaced,12,75,0.01467800902347791,0.011246726180394823,0.013834827961428518,10.99973441238671,true,false,false
spaced,12,76,0.01450061261477983,0.013463492308169593,0.01417192403570496,10.99945137247001,true,false,false
spaced,12,77,0.012711913470281604,0.004896803377209058,0.013284990914158391,10.999950650965717,true,false,false
spaced,12,78,0.014259794840500826,-0.02157740173570166,0.009934758048749374,10.998290737398253,false,false,false
spaced,12,79,0.014295236648396754,0.018229284354761323,0.007986494797165877,10.999457793544048,true,true,true
spaced,12,80,0.014147502282417007,0.02309464533814918,0.013216464763690865,10.999854888049052,true,false,false
spaced,12,81,0.014111365135693795,-0.007657682442943524,0.008351698236254059,10.99988539127479,false,false,false
spaced,12,82,0.013506640506931867,0.05514019475450375,0.011578855077195579,10.999389991842303,false,true,true
spaced,12,83,0.01378529704396473,0.007188101570854506,0.013043694083603626,10.999630971399117,true,false,false
spaced,12,84,0.014097640507822504,0.03568618184183799,0.01210160490654208,10.999905617753877,true,true,true
spaced,12,85,0.014428881964987145,0.009449675216331308,0.014995157168954842,10.999612303840376,true,false,false
spaced,12,86,0.014960085180771389,-0.014715944500142051,0.011754362551120771,10.999912791319762,false,false,false
spaced,12,87,0.0147503114221691,0.004338638186107211,0.01279344893249964,10.999847220290743,true,false,false
spaced,12,88,0.014631232264821442,0.03474286281247848,0.012272905856980694,10.999811730498335,true,true,true
spaced,12,89,0.01417252778651581,0.0035811530919206435,0.015169227524378787,10.999659453899786,true,false,false
spaced,12,90,0.013341694782303227,0.011157482623403301,0.00886841807983739,10.99959249993549,true,false,false
spaced,12,91,0.014103536857558552,0.013613912439908154,0.007614399342680731,10.99955482895445,true,false,false
spaced,12,92,0.013002792334184934,0.007656444559662003,0.011365125189202515,10.999502386632678,true,false,false
spaced,12,93,0.013426516500284948,0.027832383393272805,0.009079570827422506,10.99969180135074,true,true,true
spaced,12,94,0.014030027788061507,0.00028065282136954285,0.013953809843044953,10.999705031130302,true,false,false
spaced,12,95,0.013884361025870214,0.008128133524083874,0.009398813973381449,10.999915591352288,true,false,false
spaced,12,96,0.014885133838293839,0.022996248502366652,0.01240832707374275,10.999640850711495,true,false,false
spaced,12,97,0.015112383378191959,0.02476863897860447,0.01403485477020087,10.999351825940579,true,false,false
spaced,12,98,0.014707622117277393,0.01754277213686991,0.010123138476229596,10.999853919436315,true,false,false
spaced,12,99,0.014018043835919834,0.025580944781327414,0.00886509945227613,10.999551696769498,true,true,true
spaced,12,100,0.013966962003914979,0.018673091880175467,0.01295593684424627,10.99990976011166,true,false,false
spaced,12,101,0.014575457893380757,0.007893190946760097,0.011392879805993213,10.999742944156727,true,false,false
spaced,12,102,0.014940451263096177,0.0032959350377224366,0.016367106796906172,10.999774719227338,true,false,false
spaced,12,103,0.013882528734073665,0.016190930889530566,0.00977931923254261,10.999772023585745,true,false,false
spaced,12,104,0.015375874801169177,0.013747690105438819,0.015225451892228592,10.999522376986484,true,false,false
spaced,12,105,0.015488135038430275,0.029509248095270224,0.01443244816416069,10.999851530220223,true,false,false
spaced,12,106,0.014503960489027025,0.011268847249470205,0.013263728124235197,10.999401438189668,true,false,false
spaced,12,107,0.014320670805311554,0.009966764175162056,0.009578984570364251,10.999824162762128,true,false,false
spaced,12,108,0.014590138871316863,0.0020901314611994387,0.01643430912777523,10.998763233007123,true,false,false
spaced,12,109,0.014397746555703078,0.0251472783650699,0.011398116153111095,10.999453888730391,true,true,true
spaced,12,110,0.013609840627424583,0.007111582437562723,0.005891725463264475,10.999389772641091,true,false,false
spaced,12,111,0.014488103711149648,0.015924525776401497,0.015406701695731814,10.999731460231509,true,false,false
spaced,12,112,0.015265513300854136,0.022548702108767315,0.01032206103149684,10.999509619807169,true,false,false
spaced,12,113,0.013610329217965966,0.025749846489050578,0.007971378661354068,10.999539756409362,true,true,true
spaced,12,114,0.015292997829369402,-0.008960237151985878,0.013290645462034276,10.999342404055877,true,false,false
spaced,12,115,0.013464689848138957,0.00966716728439095,0.013230806550192603,10.999744143344204,true,false,false
spaced,12,116,0.01267564357236361,0.012436786372832154,0.012057670565099035,10.999938638296756,true,false,false
spaced,12,117,0.014259076248529266,0.01968600944031928,0.00847130837270455,10.999998653912963,true,true,true
spaced,12,118,0.014901394156410612,0.0032740839157055037,0.014614984284941403,10.999948374305163,true,false,false
spaced,12,119,0.01561649011174393,-0.004419619681575667,0.010685644050152444,10.99992682963948,true,false,false
spaced,12,120,0.014546707546766612,0.02231235675253006,0.012738030646927852,10.9999513575147,true,false,false
spaced,12,121,0.014349246337902445,0.015792420047707915,0.013849652604932268,10.999652108861413,true,false,false
spaced,12,122,0.014971999639527918,0.008167496974293231,0.014916726080611037,10.999881574788558,true,false,false
spaced,12,123,0.014493920020521689,0.03702265748438784,0.01213323513048959,10.999218728277638,true,true,true
spaced,12,124,0.014033905443401513,-0.002027785089456571,0.01144328127587122,10.999930256109161,true,false,false
spaced,12,125,0.012953633079154769,0.012368845609275888,0.010581056468630102,10.999763983479998,true,false,false
spaced,12,126,0.013447419502213776,0.011910401823581423,0.011415892375526737,10.999909314248686,true,false,false
spaced,12,127,0.014374550701783492,0.03519796400344392,0.014130251390670872,10.999541092964941,true,true,true
spaced,12,128,0.015033696757568353,0.0032451683380950143,0.011494809306237946,10.99973834386364,true,false,false
spaced,12,129,0.015256677678930774,0.009213608959200273,0.01414643509189893,10.999436994096396,true,false,false
spaced,12,130,0.015105876885935515,0.031726646757745745,0.01589024198800906,10.999257966190688,true,false,false
spaced,12,131,0.013907703838496864,0.02022815654964056,0.013802163411683992,10.998234824774283,true,false,false
spaced,12,132,0.013981841387423033,0.01543706675647733,0.010642307559153283,10.999623501563242,true,false,false
spaced,12,133,0.014039287065225519,0.0013598207041946397,0.016141603413392935,10.999936510696344,true,false,false
spaced,12,134,0.014685071782801535,0.02151781030557519,0.012233265199555731,10.999384818753056,true,false,false
spaced,12,135,0.013406868289491888,0.009067322107446082,0.014611821233297387,10.999926549758143,true,false,false
spaced,12,136,0.01509981914853271,0.017159783640377197,0.01368211016414371,10.998787624834351,true,false,false
spaced,12,137,0.01540948206700808,0.010085593556104463,0.01167433069349263,10.999707818907192,true,false,false
spaced,12,138,0.014794390712868512,0.025071674545560252,0.01500658082202385,10.999365357423487,true,false,false
spaced,12,139,0.013646544165726603,0.03917584237496279,0.012980990185301237,10.999846515393733,true,true,true
spaced,12,140,0.014904342612210313,0.023676753388075383,0.016051285911214262,10.999129591658788,true,false,false
spaced,12,141,0.013433386980856247,0.017566867401781778,0.010174056317796226,10.999881679254214,true,false,false
spaced,12,142,0.014079747741085363,-0.0014433538074105573,0.01275936223471566,10.99989597295941,true,false,false
spaced,12,143,0.014762841250913443,0.02863121750049799,0.01526435314810879,10.999674413724694,true,false,false
spaced,12,144,0.014089109718567867,0.04135322379668282,0.01181617160382172,10.999937116636062,false,true,true
spaced,12,145,0.01468559091613465,-0.0034397324435896286,0.015668806291029687,10.999750342292366,true,false,false
spaced,12,146,0.01359958818657501,0.034560789105264916,0.009404030686136988,10.999609418120343,false,true,true
spaced,12,147,0.01307427807852767,0.046445680559339675,0.013988106402516463,10.99932267535242,false,true,true
spaced,12,148,0.013111111380288799,-0.005479872601023523,0.01179487129746259,10.999952862526426,true,false,false
spaced,12,149,0.012898875166400895,0.027054930994889665,0.013711568667991714,10.999682648949896,true,false,false
spaced,12,150,0.014112607567981007,-0.007898345597358162,0.015891589249576878,10.999898972259155,true,false,false
spaced,12,151,0.014374001964983663,0.024340705805017796,0.021804905699895526,10.999492756663066,true,false,false
spaced,12,152,0.013639944480744477,0.03505102857829826,0.015754914665516838,10.999428937169627,true,true,true
spaced,12,153,0.014630233807318893,0.03112485016585684,0.01476672749146882,10.999677957492729,true,false,false
spaced,12,154,0.014338081973189988,0.021488781251873826,0.013371729213006158,10.999713749698849,true,false,false
spaced,12,155,0.01493192424365337,0.019687751676918785,0.01593441227606182,10.999974387189537,true,false,false
spaced,12,156,0.014841727719945658,0.03622733016349401,0.014283448839117767,10.999732329316325,true,true,true
spaced,12,157,0.013395472532673963,-0.0012595563889340653,0.012523918554153985,10.999912021591394,true,false,false
spaced,12,158,0.013503264987637034,0.02605170812025015,0.015575220452947972,10.999922931566935,true,false,false
spaced,12,159,0.014519326747366564,0.027024205418735778,0.019931786107919302,10.999780251937352,true,false,false
spaced,12,160,0.013891710377224946,0.013672202173153661,0.01317971236270582,10.999727494158222,true,false,false
spaced,12,161,0.013215559246909928,0.0323852482612164,0.015026182888473134,10.998962896549715,true,false,false
spaced,12,162,0.014229102252031443,0.0062281488090564505,0.01164926115693431,10.9996202521391,true,false,false
