architecture,n_people,replication,truth,estimate,se,df,covered,detected,rejected
tutor,12,0,0.10327104352207533,0.09357391567636644,0.028525718577009,10.994905944527744,true,true,true
tutor,12,1,0.10046721902090228,0.15697828653837173,0.029741501263640804,10.98982602731659,true,true,true
tutor,12,2,0.10282905594836168,0.12356190758580725,0.04832656283327999,10.996722348683045,true,true,true
tutor,12,3,0.107916910326066,0.09674496484567384,0.0335916798453413,10.995994876553167,true,true,true
tutor,12,4,0.10828710379076069,0.14256656109575241,0.0353147583498677,10.991800829389687,true,true,true
tutor,12,5,0.1045648649190383,0.06104637418583049,0.04665108487467128,10.996668513508888,true,false,false
tutor,12,6,0.10674646921490544,0.1672820324373084,0.03623639149967423,10.987797700232765,true,true,true
tutor,12,7,0.10095792555417796,0.06112961182043358,0.041823709333385306,10.995579418267717,true,false,false
tutor,12,8,0.10096421240955845,0.0741265294503732,0.028958024242060617,10.99278138810901,true,true,true
tutor,12,9,0.10766192918817455,0.13431783014276194,0.030502605507533226,10.984276990418913,true,true,true
tutor,12,10,0.10855754039531457,0.1362698983039775,0.043499014416560455,10.996931793240835,true,true,true
tutor,12,11,0.10755796330603368,0.12667438045294796,0.02759431704700782,10.989315156366791,true,true,true
tutor,12,12,0.10342891366963433,0.2468544094345264,0.04022003944445342,10.99170828026024,false,true,true
tutor,12,13,0.10448189643873759,0.08958920551380854,0.032754008600970004,10.998365296213697,true,true,true
tutor,12,14,0.10654544305833502,0.10396959093120059,0.045349805749040406,10.980201645123367,true,true,true
tutor,12,15,0.10255259874265216,0.02908180580783653,0.029862005090524894,10.99752507906069,false,false,false
tutor,12,16,0.1036193215520033,-0.024656049830887712,0.03707851140331715,10.990728929040527,false,false,false
tutor,12,17,0.1051651981349972,0.061695756769697574,0.04027608529546781,10.960579033940007,true,false,false
tutor,12,18,0.09902939448454323,0.17059906953548262,0.03367280200972378,10.99450297057845,true,true,true
tutor,12,19,0.10613720101960125,0.116215428729659,0.042833315056768836,10.997988552722342,true,true,true
tutor,12,20,0.10402614897671597,0.0954910053062619,0.03745278354167224,10.966101997177573,true,true,true
tutor,12,21,0.10314731965134535,0.053215294960891925,0.04177649863628329,10.995894898823323,true,false,false
tutor,12,22,0.10666536341181108,0.10346589434459463,0.03204883916530255,10.983587254568135,true,true,true
tutor,12,23,0.10317883097846937,0.08325455804333608,0.029614932453087457,10.981752918122842,true,true,true
tutor,12,24,0.10741758791609313,0.1186427193376666,0.02820230139601428,10.994852034022571,true,true,true
tutor,12,25,0.10863789563039933,0.11853397434307145,0.03665504366537658,10.998387935621244,true,true,true
tutor,12,26,0.10821775162565181,0.14364216099666505,0.02749212756508177,10.990464408677026,true,true,true
tutor,12,27,0.10191241425133497,0.06010349921465862,0.03602280122721946,10.997286208185441,true,false,false
tutor,12,28,0.10880453913404153,0.11286242293395242,0.046731614941742244,10.99767718427082,true,true,true
tutor,12,29,0.10375794995451924,0.09381562136118617,0.04845859291708491,10.994188952570717,true,false,false
tutor,12,30,0.10705623671397255,0.1426965516675544,0.029873432117680187,10.99334736016622,true,true,true
tutor,12,31,0.11133550488963112,0.15939270576262832,0.038208449016329894,10.997395739982103,true,true,true
tutor,12,32,0.10842640198562886,0.10582370589663351,0.0333323097759547,10.998642632460562,true,true,true
tutor,12,33,0.1000166747482283,0.12278570971638736,0.023899377575742106,10.988196462449846,true,true,true
tutor,12,34,0.09935429427437134,0.04525968621240157,0.04842881012924628,10.99269822173254,true,false,false
tutor,12,35,0.10683761003283326,0.07879589744652087,0.04153083237646138,10.998237060379271,true,false,false
tutor,12,36,0.10719959945391144,0.08954950705248546,0.035738850086532645,10.995652152956222,true,true,true
tutor,12,37,0.10723806790291765,0.07546848739858472,0.04393747136560709,10.996876130914446,true,false,false
tutor,12,38,0.10507348493719247,0.1352979177885682,0.03931705731889686,10.990460042910712,true,true,true
tutor,12,39,0.10550006261973348,0.1538213534223045,0.02971755200999442,10.98400277037804,true,true,true
tutor,12,40,0.10041802585026106,0.06981173975409594,0.055462233706865566,10.995302576832938,true,false,false
tutor,12,41,0.09898232497053797,0.14402508212719176,0.030046089985412548,10.994217400129159,true,true,true
tutor,12,42,0.1022097141754135,0.08442496199399256,0.032174316030954386,10.996074353064289,true,true,true
tutor,12,43,0.10271089765931263,0.08904182378553882,0.04879926125030155,10.997881751169876,true,false,false
tutor,12,44,0.10445384172091347,0.11125345902656548,0.06810557745529144,10.9985200517779,true,false,false
tutor,12,45,0.10335774444466564,0.13387140137136835,0.03488259829755813,10.996337328915784,true,true,true
tutor,12,46,0.1068031663639303,0.027928068577168973,0.03697875718587871,10.99472326774157,true,false,false
tutor,12,47,0.10921638828092937,0.14655943360525348,0.03581849698204654,10.983661661011698,true,true,true
tutor,12,48,0.10802378923915228,0.18175667839191428,0.03198637912599779,10.993792017451945,false,true,true
tutor,12,49,0.10752440700434536,0.05986710457341748,0.037401271161764615,10.997099558690683,true,false,false
tutor,12,50,0.10647787527463765,0.15710253239942235,0.03964940957348814,10.995934917723908,true,true,true
tutor,12,51,0.10590619724971533,0.13384725291288624,0.017112104808571567,10.995281240255041,true,true,true
tutor,12,52,0.10847228376139367,0.1499747583203297,0.03307887902610361,10.992233968844127,true,true,true
