"architecture","n_people","replication","estimate","se","df","rejected"
"spaced",12,0,0.00030139721637746,0.0177214271293387,10.9994981187066,"false"
"spaced",12,1,-0.00822254598860913,0.0129152916778089,10.9999830939067,"false"
"spaced",12,2,-0.000765493488295781,0.0114599048409632,11.0000080614151,"false"
"spaced",12,3,-0.0226280883275648,0.014613786563663,10.9996521688879,"false"
"spaced",12,4,-0.00389335090175046,0.0159279928006267,10.9995016500234,"false"
"spaced",12,5,0.0235173985846153,0.0171399851982048,10.9996645827838,"false"
"spaced",12,6,-0.0316772360958611,0.0121517023894087,10.9999991743642,"true"
"spaced",12,7,0.00733262851127083,0.0116167165581996,10.9994442787786,"false"
"spaced",12,8,0.00339832059434685,0.0125938543553525,10.9994970062361,"false"
"spaced",12,9,0.0155551129194529,0.00754859980364965,10.9996262399496,"false"
"spaced",12,10,-0.0119502268831966,0.01989857160138,10.9997477505595,"false"
"spaced",12,11,0.00710438665516379,0.0133569178645644,10.9999209395333,"false"
"spaced",12,12,0.00721344164875842,0.013715609933771,10.9996589982354,"false"
"spaced",12,13,-0.00375076546454567,0.0130288491439845,10.9999772416402,"false"
"spaced",12,14,0.0096812896675334,0.00934397079805946,10.9999460334837,"false"
"spaced",12,15,0.00512478979668806,0.0113335485510769,10.9998371210923,"false"
"spaced",12,16,-0.000238807461127509,0.0169766583347701,10.999734371768,"false"
"spaced",12,17,-0.0118871897184824,0.0106294038318676,10.999630824365,"false"
"spaced",12,18,0.0186887503311075,0.00959186668292252,10.9997924076234,"false"
"spaced",12,19,0.0119507529798117,0.00648647399376854,10.9998095913736,"false"
"spaced",12,20,-0.0227721296077448,0.0172674057735985,10.9998716615524,"false"
"spaced",12,21,0.00207716581611247,0.0113093815488159,10.9997893594345,"false"
"spaced",12,22,-0.00383614811127052,0.0094597690528999,10.9999024666398,"false"
"spaced",12,23,0.0170775673757244,0.00870027958261848,10.9995581000546,"false"
"spaced",12,24,-0.00607266403119564,0.0102631440610552,10.9998806427762,"false"
"spaced",12,25,0.00264409987936195,0.0106933386631799,10.999550744014,"false"
"spaced",12,26,-0.0189518386893322,0.0130453386790424,10.9991404118024,"false"
"spaced",12,27,0.00300421434448235,0.0161786277190969,10.9996640402519,"false"
"spaced",12,28,-0.0232537802342687,0.0153427024653663,10.999550238938,"false"
"spaced",12,29,0.00767910259632435,0.0170733937065269,10.9996588210253,"false"
"spaced",12,30,-0.001066222953726,0.013444356576602,10.9996988963976,"false"
"spaced",12,31,-0.012864183152324,0.0132336920889446,10.9999200705997,"false"
"spaced",12,32,0.00722264474554769,0.0136716429952191,10.999652995071,"false"
"spaced",12,33,0.0105553491199159,0.0168731597978499,10.9998403575932,"false"
"spaced",12,34,0.0112898417456227,0.0110886683536219,10.9996951861738,"false"
"spaced",12,35,0.00547910872117286,0.0111294747290314,10.9997850613397,"false"
"spaced",12,36,-0.00995571187170293,0.0103862844528004,10.9998872395103,"false"
"spaced",12,37,0.00658914687550342,0.0124001363334722,10.9996209477123,"false"
"spaced",12,38,-0.0214647071614741,0.0126134402648892,10.9999813503028,"false"
"spaced",12,39,-0.00653455339869141,0.0130117932194231,10.9997846889098,"false"
"spaced",12,40,-0.0291532445688495,0.0108479460584084,11.000009815925,"true"
"spaced",12,41,-0.0069534036117337,0.0147947673301792,10.9994392096715,"false"
"spaced",12,42,-0.00318076001406642,0.0133955784713572,10.9994296775579,"false"
"spaced",12,43,-0.00972219030954336,0.0132550448147322,10.9993636697876,"false"
"spaced",12,44,0.0107792624620612,0.0121782297630072,10.999218978794,"false"
"spaced",12,45,0.00864577769910577,0.00873883400554893,10.9998361875223,"false"
"spaced",12,46,-0.00555933565875195,0.0138641605568194,10.9997106227363,"false"
"spaced",12,47,-0.0085783010529101,0.0123348035344321,10.9998358741759,"false"
"spaced",12,48,-0.00149938867201339,0.0161563029621341,10.9994008560223,"false"
"spaced",12,49,-0.00363113324723393,0.0155483855715507,10.9994161492557,"false"
"spaced",12,50,-0.00463394592030144,0.0129815651313643,10.9997490486384,"false"
"spaced",12,51,0.00340239852200425,0.0109266471481641,10.9994598782209,"false"
"spaced",12,52,-0.00547093817933123,0.0100569576719298,10.9996632582515,"false"
"spaced",12,53,0.00851332428148254,0.0109930696044946,10.999564060742,"false"
"spaced",12,54,-0.0243010223969203,0.0180273016743627,10.9995066799466,"false"
"spaced",12,55,-0.0123331513934074,0.0135642911266841,10.9999693733111,"false"
"spaced",12,56,-0.0062398775622883,0.0208093464530246,10.9999715704684,"false"
"spaced",12,57,0.00688983173765345,0.0132870789379475,10.9999203364369,"false"
"spaced",12,58,-0.0191849358446551,0.0133546083333626,10.9997952130222,"false"
"spaced",12,59,0.00992432796991206,0.00964213711654738,11.0000136286545,"false"
"spaced",12,60,0.00131886433105615,0.0102680182450084,10.9997425883748,"false"
"spaced",12,61,-0.0103893475739175,0.0164385261352621,10.9996614339011,"false"
"spaced",12,62,-0.00172599225598274,0.013952914286378,10.9996033023883,"false"
"spaced",12,63,-0.00407611379322192,0.0110904821354785,10.9991458936585,"false"
"spaced",12,64,0.00257693308399901,0.0104481215431553,10.999978168341,"false"
"spaced",12,65,-0.00543949018081844,0.0170170394555194,10.9994807128166,"false"
"spaced",12,66,-0.000794325350138469,0.00505404509491897,10.9997937271387,"false"
"spaced",12,67,0.00278206783470333,0.0146565282703801,10.9997452661256,"false"
"spaced",12,68,0.00351181534439818,0.0113060514471609,10.9997419986637,"false"
"spaced",12,69,-0.00132832071444574,0.0116917760861423,10.9998015897722,"false"
"spaced",12,70,-0.0183716441052192,0.0110795642231242,10.9998816332258,"false"
"spaced",12,71,0.00950173578792568,0.00963797770697457,10.999766412055,"false"
"spaced",12,72,-0.00182781547071533,0.0137556959642823,10.9996727056297,"false"
"spaced",12,73,-0.0276332659738937,0.0135895407314444,10.999503562444,"false"
"spaced",12,74,0.0307053123782427,0.0135412844915891,10.9990869494791,"true"
"spaced",12,75,-0.00902799766729193,0.011187130284909,10.9999104693279,"false"
