architecture,n_people,replication,estimate,se,df,rejected
spaced,12,0,0.0003013972163774598,0.017721427129338656,10.999498118706557,false
spaced,12,1,-0.008222545988609133,0.012915291677808865,10.999983093906726,false
spaced,12,2,-0.0007654934882957813,0.011459904840963247,11.000008061415143,false
spaced,12,3,-0.02262808832756478,0.014613786563662978,10.999652168887897,false
spaced,12,4,-0.003893350901750461,0.015927992800626702,10.99950165002343,false
spaced,12,5,0.023517398584615268,0.017139985198204845,10.999664582783835,false
spaced,12,6,-0.03167723609586109,0.012151702389408693,10.999999174364213,true
spaced,12,7,0.007332628511270825,0.011616716558199567,10.999444278778553,false
spaced,12,8,0.003398320594346855,0.012593854355352542,10.999497006236089,false
spaced,12,9,0.015555112919452871,0.007548599803649646,10.999626239949624,false
spaced,12,10,-0.011950226883196607,0.019898571601379953,10.99974775055951,false
spaced,12,11,0.007104386655163786,0.013356917864564388,10.999920939533332,false
spaced,12,12,0.007213441648758424,0.013715609933770995,10.999658998235413,false
spaced,12,13,-0.003750765464545669,0.013028849143984467,10.999977241640204,false
spaced,12,14,0.009681289667533396,0.009343970798059457,10.99994603348372,false
spaced,12,15,0.005124789796688065,0.01133354855107689,10.999837121092307,false
spaced,12,16,-0.00023880746112750918,0.01697665833477012,10.999734371767987,false
spaced,12,17,-0.011887189718482445,0.010629403831867643,10.999630824365036,false
spaced,12,18,0.018688750331107513,0.009591866682922516,10.999792407623413,false
spaced,12,19,0.011950752979811744,0.006486473993768538,10.999809591373555,false
spaced,12,20,-0.02277212960774481,0.017267405773598466,10.999871661552442,false
spaced,12,21,0.0020771658161124694,0.01130938154881588,10.999789359434502,false
spaced,12,22,-0.0038361481112705155,0.009459769052899898,10.999902466639828,false
spaced,12,23,0.017077567375724426,0.00870027958261848,10.999558100054555,false
spaced,12,24,-0.006072664031195639,0.010263144061055236,10.999880642776198,false
spaced,12,25,0.002644099879361954,0.010693338663179883,10.999550744013963,false
spaced,12,26,-0.018951838689332243,0.013045338679042406,10.99914041180237,false
spaced,12,27,0.0030042143444823483,0.016178627719096877,10.999664040251913,false
spaced,12,28,-0.023253780234268665,0.01534270246536628,10.999550238937987,false
spaced,12,29,0.007679102596324348,0.01707339370652694,10.999658821025296,false
spaced,12,30,-0.0010662229537259994,0.013444356576602038,10.999698896397604,false
spaced,12,31,-0.012864183152323962,0.013233692088944593,10.999920070599732,false
spaced,12,32,0.007222644745547694,0.01367164299521908,10.999652995070958,false
spaced,12,33,0.010555349119915928,0.01687315979784994,10.999840357593218,false
spaced,12,34,0.011289841745622652,0.01108866835362189,10.999695186173826,false
spaced,12,35,0.005479108721172862,0.011129474729031412,10.999785061339713,false
spaced,12,36,-0.009955711871702931,0.010386284452800437,10.99988723951028,false
spaced,12,37,0.006589146875503416,0.012400136333472244,10.999620947712273,false
spaced,12,38,-0.021464707161474077,0.012613440264889196,10.99998135030283,false
spaced,12,39,-0.00653455339869141,0.013011793219423109,10.99978468890981,false
spaced,12,40,-0.029153244568849466,0.01084794605840841,11.000009815925,true
spaced,12,41,-0.006953403611733702,0.01479476733017923,10.999439209671493,false
spaced,12,42,-0.0031807600140664246,0.013395578471357156,10.999429677557927,false
spaced,12,43,-0.009722190309543364,0.013255044814732239,10.999363669787622,false
spaced,12,44,0.01077926246206121,0.012178229763007161,10.99921897879399,false
spaced,12,45,0.008645777699105774,0.00873883400554893,10.999836187522323,false
spaced,12,46,-0.005559335658751953,0.013864160556819428,10.999710622736318,false
spaced,12,47,-0.008578301052910103,0.012334803534432061,10.999835874175895,false
spaced,12,48,-0.0014993886720133895,0.016156302962134123,10.999400856022264,false
spaced,12,49,-0.003631133247233932,0.015548385571550664,10.999416149255731,false
spaced,12,50,-0.004633945920301436,0.012981565131364291,10.999749048638366,false
spaced,12,51,0.003402398522004251,0.010926647148164086,10.999459878220877,false
spaced,12,52,-0.005470938179331226,0.010056957671929767,10.999663258251498,false
spaced,12,53,0.008513324281482536,0.010993069604494594,10.999564060742024,false
spaced,12,54,-0.024301022396920342,0.018027301674362714,10.999506679946604,false
spaced,12,55,-0.012333151393407373,0.013564291126684076,10.999969373311067,false
spaced,12,56,-0.006239877562288296,0.02080934645302465,10.99997157046836,false
spaced,12,57,0.006889831737653451,0.013287078937947498,10.999920336436945,false
spaced,12,58,-0.01918493584465512,0.013354608333362581,10.999795213022228,false
spaced,12,59,0.009924327969912062,0.009642137116547385,11.000013628654497,false
spaced,12,60,0.0013188643310561516,0.01026801824500839,10.9997425883748,false
spaced,12,61,-0.010389347573917487,0.016438526135262147,10.999661433901126,false
spaced,12,62,-0.0017259922559827385,0.013952914286377993,10.99960330238829,false
spaced,12,63,-0.004076113793221916,0.0110904821354785,10.999145893658545,false
spaced,12,64,0.0025769330839990083,0.010448121543155331,10.999978168340977,false
spaced,12,65,-0.005439490180818438,0.01701703945551943,10.999480712816624,false
spaced,12,66,-0.0007943253501384688,0.005054045094918966,10.999793727138712,false
spaced,12,67,0.0027820678347033325,0.014656528270380149,10.999745266125599,false
spaced,12,68,0.0035118153443981846,0.011306051447160936,10.999741998663747,false
spaced,12,69,-0.0013283207144457391,0.011691776086142292,10.999801589772169,false
spaced,12,70,-0.018371644105219246,0.011079564223124158,10.999881633225778,false
spaced,12,71,0.009501735787925682,0.009637977706974568,10.999766412055008,false
spaced,12,72,-0.001827815470715334,0.01375569596428233,10.99967270562972,false
spaced,12,73,-0.0276332659738937,0.013589540731444444,10.999503562443975,false
spaced,12,74,0.03070531237824265,0.013541284491589143,10.99908694947908,true
spaced,12,75,-0.009027997667291933,0.011187130284908975,10.999910469327924,false
spaced,12,76,0.005486123810180287,0.011261999249834159,10.99984728618771,false
spaced,12,77,0.010172749193848845,0.010662988046601459,10.999320328231173,false
spaced,12,78,0.000818469315683361,0.007569466912175179,10.999926553480497,false
spaced,12,79,0.004110582942535138,0.012737973493375531,10.999838639552983,false
spaced,12,80,0.002281479975264018,0.011787276186931223,10.999832147878958,false
spaced,12,81,0.000318931765668021,0.012076505351281597,10.999992286598044,false
spaced,12,82,0.008607960731708546,0.01350039899288101,10.99866882497556,false
spaced,12,83,-0.00172071431967118,0.012281409447950342,10.999082178434678,false
spaced,12,84,-0.012165652398449254,0.010545834541369177,10.999890206923663,false
spaced,12,85,-0.00482334558257064,0.011532153925731656,10.999744732893294,false
spaced,12,86,-0.006078206642135342,0.013655815832379646,10.999662552347088,false
spaced,12,87,0.014303452382179727,0.012693592229818605,10.999630449218502,false
spaced,12,88,0.017154643021506363,0.016803438734212837,10.999520533338798,false
spaced,12,89,-0.005178999500818655,0.00760154322749365,10.999966029864122,false
spaced,12,90,0.0015289726057694897,0.011399082899068033,10.999841246987385,false
spaced,12,91,0.0020439760527869288,0.010751149002538016,10.999532462398573,false
spaced,12,92,0.023453665768506663,0.007086104697826757,10.999979705555404,true
spaced,12,93,0.012723761282681828,0.011819556958194895,10.99945368963041,false
spaced,12,94,0.02563365126106775,0.012630988252412441,10.999835109909156,false
