"architecture","mechanism","adaptivity","context_strength","observation_strength","parameter","n_replications","mean_truth","mean_estimate","bias","empirical_sd","mcse_mean","mean_model_se","model_se_ratio","mean_observed_rate","coverage","coverage_mcse","sign_error","rejection","power","mean_df"
"spaced","clean",0.7,0,0,"delay_slope",400,0.25,0.248905488429462,-0.00109451157053838,0.0688183677187482,0.00344091838593741,0.0686493096256147,0.997543416114947,1,0.95,0.0108972473588517,NA,NA,NA,NA
"spaced","clean",0.7,0,0,"previous_failure",400,0.35,0.330319528848414,-0.0196804711515862,0.174386927846122,0.00871934639230609,0.174126235446838,0.998505092081705,1,0.95,0.0108972473588517,NA,NA,NA,NA
"spaced","clean",0.7,0,0,"retention",400,0.75,0.751006281488311,0.00100628148831116,0.0783464599821241,0.0039173229991062,0.0762604416162418,0.973374440065852,1,0.955,0.0103652062208139,NA,NA,NA,NA
"spaced","clean",0.7,0,0,"state_slope",400,-0.55,-0.55719779528665,-0.00719779528664988,0.121072782935371,0.00605363914676855,0.115318224553589,0.952470255971124,1,0.925,0.0131695671910659,NA,NA,NA,NA
"spaced","informative_observation",0.7,1,0.5,"delay_slope",400,0.25,0.546897485048801,0.296897485048801,0.0583319876242149,0.00291659938121075,0.0547541408273335,0.93866406850508,0.812948958333333,0.0025,0.00249687304442977,NA,NA,NA,NA
"spaced","informative_observation",0.7,1,0.5,"previous_failure",400,0.35,0.349779776920039,-0.000220223079960735,0.177929376992862,0.0088964688496431,0.169003341425473,0.94983382891434,0.812948958333333,0.95,0.0108972473588517,NA,NA,NA,NA
"spaced","informative_observation",0.7,1,0.5,"retention",400,0.75,0.729607350408372,-0.0203926495916282,0.0586526552405322,0.00293263276202661,0.0581201467583106,0.990920982519242,0.812948958333333,0.9275,0.0129656999425407,NA,NA,NA,NA
"spaced","informative_observation",0.7,1,0.5,"state_slope",400,-0.55,-0.8025067775262,-0.2525067775262,0.117688462426403,0.00588442312132017,0.109316992222734,0.928867536960943,0.812948958333333,0.3625,0.0240361056537868,NA,NA,NA,NA
"spaced","informative_observation",0.7,1,1,"delay_slope",400,0.25,0.551175548868408,0.301175548868408,0.058426603611596,0.0029213301805798,0.0535744112758251,0.91695234643405,0.806658854166667,0.0025,0.00249687304442977,NA,NA,NA,NA
"spaced","informative_observation",0.7,1,1,"previous_failure",400,0.35,0.377459181903567,0.0274591819035675,0.169658616800452,0.0084829308400226,0.16566401731723,0.976455074557634,0.806658854166667,0.93,0.0127573508221731,NA,NA,NA,NA
"spaced","informative_observation",0.7,1,1,"retention",400,0.75,0.728114364818518,-0.0218856351814821,0.0600740689581204,0.00300370344790602,0.0572312798190262,0.952678598463573,0.806658854166667,0.9275,0.0129656999425407,NA,NA,NA,NA
"spaced","informative_observation",0.7,1,1,"state_slope",400,-0.55,-0.804850849796067,-0.254850849796067,0.114623182576391,0.00573115912881956,0.107557463237236,0.938356978227802,0.806658854166667,0.3275,0.0234650671211484,NA,NA,NA,NA
"spaced","outcome_omission",0.7,0.5,0,"delay_slope",400,0.25,0.344640562651787,0.0946405626517868,0.0663028851592324,0.00331514425796162,0.0639261967008061,0.964154071836867,1,0.69,0.0231246621596944,NA,NA,NA,NA
"spaced","outcome_omission",0.7,0.5,0,"previous_failure",400,0.35,0.327047499789524,-0.0229525002104755,0.153555601516626,0.00767778007583132,0.170521221124354,1.11048518868841,1,0.975,0.007806247497998,NA,NA,NA,NA
"spaced","outcome_omission",0.7,0.5,0,"retention",400,0.75,0.738720138075965,-0.0112798619240349,0.0661772757546347,0.00330886378773174,0.0670998529006673,1.01394099614274,1,0.9575,0.0100863459686846,NA,NA,NA,NA
"spaced","outcome_omission",0.7,0.5,0,"state_slope",400,-0.55,-0.645767309258674,-0.0957673092586741,0.111293257587173,0.00556466287935863,0.114269424991054,1.02674166852875,1,0.88,0.0162480768092719,NA,NA,NA,NA
"spaced","outcome_omission",0.7,1,0,"delay_slope",400,0.25,0.542965637524908,0.292965637524908,0.0569779890106742,0.00284889945053371,0.0529113630104879,0.928628123407016,1,0,0,NA,NA,NA,NA
"spaced","outcome_omission",0.7,1,0,"previous_failure",400,0.35,0.323104963059639,-0.0268950369403608,0.166658812879113,0.00833294064395567,0.159245899413188,0.955520423205568,1,0.935,0.012326293035621,NA,NA,NA,NA
"spaced","outcome_omission",0.7,1,0,"retention",400,0.75,0.72558156275895,-0.0244184372410497,0.0539857713560807,0.00269928856780403,0.0505825029413744,0.936959900188164,1,0.9275,0.0129656999425407,NA,NA,NA,NA
"spaced","outcome_omission",0.7,1,0,"state_slope",400,-0.55,-0.817537229111187,-0.267537229111187,0.113879204552158,0.00569396022760791,0.105480314757368,0.926247379160927,1,0.295,0.0228021380576471,NA,NA,NA,NA
