lambda,parameter,truth,n_total,n_valid,n_failed,mean_estimate,bias,bias_mcse,empirical_sd,mean_se,se_sd_ratio,coverage_valid,coverage_valid_mcse,coverage_unconditional,coverage_unconditional_mcse,mean_observed_rate
0,delay_coefficient,0.25,1000,994,6,0.24438244608418333,-0.00561755391581667,0.002364539974755162,0.0745486619360928,0.07254184594070709,0.9730804558624263,0.9466800804828974,0.00712612063267391,0.941,0.007451107300260817,0.8099954166666666
0,state_coefficient,-0.55,1000,994,6,-0.5514787919437076,-0.0014787919437075914,0.003882746714228086,0.12241432806076216,0.12920272031900382,1.055454229629657,0.9537223340040242,0.006663516967502815,0.948,0.007021111023192843,0.8099954166666666
0,previous_failure_coefficient,0.35,1000,994,6,0.32206053772499693,-0.027939462275003046,0.0057580334499880755,0.18153792858770446,0.1890443870622095,1.0413492570555498,0.971830985915493,0.005247929622426879,0.966,0.005730968504537434,0.8099954166666666
0,retention,0.75,1000,994,6,0.7457952346782939,-0.004204765321706105,0.002760555184684281,0.08703413662535603,0.0892488532861641,1.0254465287607948,0.9748490945674044,0.004966521458820221,0.969,0.005480784615363026,0.8099954166666666
1,delay_coefficient,0.25,1000,990,10,0.24223989617085048,-0.007760103829149517,0.002618555345606272,0.08239092047685323,0.07770675088644345,0.9431470171312658,0.9343434343434344,0.007871812713518908,0.925,0.00832916562447884,0.8098385416666671
1,state_coefficient,-0.55,1000,990,10,-0.5536468446972223,-0.003646844697222207,0.004564280661486455,0.14361173829896717,0.14752922253149237,1.0272783010562123,0.9454545454545454,0.007217420559256339,0.936,0.007739767438366605,0.8098385416666671
1,previous_failure_coefficient,0.35,1000,990,10,0.31209724295252805,-0.037902757047471924,0.006255260928006894,0.19681719026719993,0.19970721639313324,1.0146838094884385,0.9585858585858585,0.006332456901484808,0.949,0.006956938982052382,0.8098385416666671
1,retention,0.75,1000,990,10,0.746455108059291,-0.0035448919407089496,0.002931184125991176,0.09222755540866313,0.09475488120466029,1.0274031528299594,0.9777777777777777,0.004684855792842047,0.968,0.005565608681896351,0.8098385416666671
2,delay_coefficient,0.25,1000,987,13,0.24059590571780404,-0.009404094282195963,0.002667665919435251,0.0838088761335338,0.0834020525614344,0.9951458175927428,0.9544072948328267,0.0066398150023294755,0.942,0.007391616873188169,0.8097408333333334
2,state_coefficient,-0.55,1000,987,13,-0.5522151094561559,-0.0022151094561558837,0.004999041885631878,0.1570526800702108,0.16452631822586086,1.0475868234296222,0.9483282674772037,0.007046075353947364,0.936,0.007739767438366605,0.8097408333333334
2,previous_failure_coefficient,0.35,1000,987,13,0.3014846564226835,-0.04851534357731646,0.006763881111356169,0.21249785069174107,0.21220279846743093,0.9986115049006394,0.9493414387031408,0.006980380049644774,0.937,0.007683163410991592,0.8097408333333334
2,retention,0.75,1000,987,13,0.7487991857439388,-0.0012008142560612223,0.003113245629276838,0.09780745610476016,0.09999511738927927,1.02236701956726,0.9766970618034447,0.0048020503122711425,0.964,0.005891010100144119,0.8097408333333334
