lambda,parameter,truth,n_total,n_valid,n_failed,mean_estimate,bias,bias_mcse,empirical_sd,mean_se,se_sd_ratio,coverage_valid,coverage_valid_mcse,coverage_unconditional,coverage_unconditional_mcse,mean_observed_rate
0,delay_coefficient,0.25,1000,990,10,0.2449070987362821,-0.005092901263717892,0.0023586106222906688,0.07421195070139683,0.07254613939276226,0.9775533280975565,0.9484848484848485,0.007025303521932362,0.939,0.007568289106528638,0.8099954166666666
0,state_coefficient,-0.55,1000,990,10,-0.5526405784729527,-0.002640578472952626,0.0038529547595885978,0.12123039130367462,0.129356936801853,1.0670338964577115,0.9585858585858585,0.006332456901484808,0.949,0.006956938982052382,0.8099954166666666
0,previous_failure_coefficient,0.35,1000,990,10,0.32147359445610396,-0.028526405543896016,0.005773482295846024,0.18165837949911093,0.18907212966555975,1.0408114956595498,0.9717171717171718,0.005268824827011199,0.962,0.006046155803483734,0.8099954166666666
0,retention,0.75,1000,990,10,0.7449387615366216,-0.005061238463378359,0.00273819762031367,0.08615537676670292,0.08927004387160163,1.0361517437656016,0.9747474747474747,0.004986328300472889,0.965,0.005811626278418119,0.8099954166666666
1,delay_coefficient,0.25,1000,981,19,0.2430200206743598,-0.0069799793256402065,0.0026117565268445756,0.0818026160007151,0.07778223994739605,0.950852720244498,0.9357798165137615,0.007826869707499781,0.918,0.008676174272108645,0.8098385416666671
1,state_coefficient,-0.55,1000,981,19,-0.5562869745592235,-0.006286974559223446,0.004514541615414732,0.1413995946364859,0.14813622258588433,1.047642484172017,0.9551478083588175,0.0066083437008888695,0.937,0.007683163410991592,0.8098385416666671
1,previous_failure_coefficient,0.35,1000,981,19,0.3101525986926584,-0.0398474013073416,0.00627113128033887,0.19641759817306337,0.19986964495860549,1.0175750381719897,0.9582059123343527,0.006389286227209934,0.94,0.007509993342207438,0.8098385416666671
1,retention,0.75,1000,981,19,0.7444014943089774,-0.005598505691022604,0.00287638826665892,0.09009112542765917,0.09496390208086641,1.0540871992671461,0.9775739041794088,0.004727343201847079,0.959,0.006270486424512857,0.8098385416666671
2,delay_coefficient,0.25,1000,975,25,0.24172029945467696,-0.008279700545323038,0.0026746499779835816,0.08351591879461893,0.08354447489072385,1.0003419239890678,0.9558974358974359,0.00657559808664353,0.932,0.00796090447122687,0.8097408333333334
2,state_coefficient,-0.55,1000,975,25,-0.5555771459612231,-0.005577145961223051,0.004962473750239607,0.15495319318675468,0.16547090149662919,1.0678766800061887,0.96,0.006275716324421892,0.936,0.007739767438366605,0.8097408333333334
2,previous_failure_coefficient,0.35,1000,975,25,0.29896863948113395,-0.05103136051886603,0.0067927428422521275,0.2121033272674979,0.21244158692482892,1.0015947871336521,0.9497435897435897,0.00699675408146243,0.926,0.008277922444671728,0.8097408333333334
2,retention,0.75,1000,975,25,0.7462147879835217,-0.003785212016478301,0.003059877505625304,0.09554464448987153,0.10041429687442555,1.0509672981730571,0.9764102564102564,0.004860438683072916,0.952,0.006759881655768837,0.8097408333333334
