sequence,opportunity,z0,plan,action,observed,y,lambda,alpha
1,1,-1.0370208364867128,-0.0667974469592779,0.855105265769905,1,0,2.0,0.9468387812376022
2,1,-0.7416687766720576,0.09619253306957623,0.9021533057506792,1,0,2.0,0.9468387812376022
3,1,0.18179778486676884,0.7249864922243738,0.5127530582172009,1,0,2.0,0.9468387812376022
4,1,-2.042382408903982,-1.1196405740872524,-1.4960438052922274,0,-1,2.0,0.9468387812376022
5,1,0.3552101608798435,1.034104625351409,1.7125450666123423,1,0,2.0,0.9468387812376022
6,1,-1.177362653904496,-0.2561595073461631,-0.23773446728982825,0,-1,2.0,0.9468387812376022
7,1,0.45214563094521865,1.2588303776531822,1.3439292059863766,1,1,2.0,0.9468387812376022
8,1,-0.09393022728095046,0.6111918581775517,1.295415979239622,0,-1,2.0,0.9468387812376022
9,1,-1.1065415848720335,-0.21894285299481853,-0.21797613338390945,0,-1,2.0,0.9468387812376022
10,1,-2.058761013433792,-1.1005871977009354,-0.9583933275754324,0,-1,2.0,0.9468387812376022
11,1,-0.05022495516763498,1.0466968284412181,1.7310932802466747,1,1,2.0,0.9468387812376022
12,1,0.41615689361788055,1.2452754922697034,0.2952277915018712,1,0,2.0,0.9468387812376022
13,1,-1.557980833021976,-0.4914778791456858,-0.1510185072761669,0,-1,2.0,0.9468387812376022
14,1,1.0873372460057984,1.501752600826902,1.6198159334034161,1,0,2.0,0.9468387812376022
15,1,0.1536962309572425,0.701313371788748,0.18032991567325363,1,0,2.0,0.9468387812376022
16,1,1.565998784067064,1.8265453750447291,1.9203461106073378,1,0,2.0,0.9468387812376022
17,1,1.491379694022179,1.8664310332359586,1.4671198069006655,1,0,2.0,0.9468387812376022
18,1,-1.443332495737882,-0.7119422044738803,-0.5363117158133409,0,-1,2.0,0.9468387812376022
19,1,-0.9416937400842912,0.6333556037838691,0.5057512792848708,1,0,2.0,0.9468387812376022
20,1,0.429328107135302,0.9977202445219614,1.2515413865594498,1,0,2.0,0.9468387812376022
21,1,-0.7065749326259058,0.4484015737000333,-0.5180063981222474,1,0,2.0,0.9468387812376022
22,1,0.20234081073667443,1.3122498310597237,1.8861931426551455,1,0,2.0,0.9468387812376022
23,1,0.8917292083103527,1.147119580307977,1.3131162196861978,1,0,2.0,0.9468387812376022
24,1,0.3599438889730838,0.9814708987441666,0.5427522534260953,1,0,2.0,0.9468387812376022
25,1,1.998148752210111,2.1053248735248844,1.207572179498197,1,1,2.0,0.9468387812376022
26,1,-0.06945619894167165,1.0128240511313835,1.7899670034655626,1,0,2.0,0.9468387812376022
27,1,1.5318273913288523,1.8517323147889644,1.690995682570351,1,1,2.0,0.9468387812376022
28,1,-0.4326515075783085,0.5972390721302219,0.347043735358723,0,-1,2.0,0.9468387812376022
29,1,-1.8522340635201866,-1.0195809848482786,-1.3755803321494522,1,1,2.0,0.9468387812376022
30,1,0.6845020281192162,1.0046580509381113,0.5470011144509259,1,0,2.0,0.9468387812376022
31,1,2.7315799759333084,2.845957175449313,2.0988425379383213,1,0,2.0,0.9468387812376022
32,1,1.4423171658077343,1.5196637685266166,1.1270087013421606,1,0,2.0,0.9468387812376022
33,1,-0.9822282216252614,0.43732275437578777,0.24742631866343448,0,-1,2.0,0.9468387812376022
34,1,-0.5629539735802812,0.6512743509386762,0.04553436182592929,1,0,2.0,0.9468387812376022
35,1,0.2838496400022858,1.34780614992767,1.121635154934278,1,0,2.0,0.9468387812376022
36,1,-0.34186552907871903,0.19938224610574412,-0.10180402635190394,1,1,2.0,0.9468387812376022
37,1,-0.38474341852774985,0.4257331196436734,0.4288752470127738,1,0,2.0,0.9468387812376022
38,1,-0.47070772428642216,0.7130509147027138,0.41018787674893015,0,-1,2.0,0.9468387812376022
39,1,-1.4179541744549402,-0.17937350696199342,-0.14926518887060913,0,-1,2.0,0.9468387812376022
40,1,-0.13054390573437946,0.6620834182150249,1.2938077212145804,1,0,2.0,0.9468387812376022
41,1,-0.8477207048490134,0.37519460093075163,0.5060276058577453,0,-1,2.0,0.9468387812376022
42,1,-0.6006070119032443,0.39658181078084087,-0.7495514192032474,1,0,2.0,0.9468387812376022
43,1,0.11340776502378713,0.6244691397483753,0.6293996228414986,1,0,2.0,0.9468387812376022
44,1,0.5099018456520078,1.1823208062557804,0.7027363117544977,1,0,2.0,0.9468387812376022
45,1,-0.9349380868958119,0.3068816841123716,0.5286831967198509,0,-1,2.0,0.9468387812376022
46,1,-0.7113504351220716,0.24173470846573109,0.07008975069467308,0,-1,2.0,0.9468387812376022
47,1,-0.8111201231429512,0.3966684456629064,0.432038486090735,0,-1,2.0,0.9468387812376022
48,1,0.3176350673564433,1.0733876994676463,1.7512716724703208,1,0,2.0,0.9468387812376022
49,1,0.7346571918980442,1.0734449304622142,1.0825446829008398,1,0,2.0,0.9468387812376022
50,1,-0.5784829066823491,0.23064368935190316,0.0278002396657063,0,-1,2.0,0.9468387812376022
51,1,1.824784295861223,1.9917278249428692,2.007121787677024,1,0,2.0,0.9468387812376022
52,1,-0.0031719231099880396,0.6393321813713686,0.6295478713314856,1,0,2.0,0.9468387812376022
53,1,0.4076583100051137,0.7764419739463658,0.7235737068211436,1,0,2.0,0.9468387812376022
54,1,-0.5351880977946578,0.3912293325132988,0.8736413342990116,1,0,2.0,0.9468387812376022
55,1,0.16353647607833777,1.0693719417545016,1.2709603332444166,1,0,2.0,0.9468387812376022
56,1,0.7250620690157785,0.937556314370833,1.0529971180799707,1,0,2.0,0.9468387812376022
57,1,-0.10205590464675451,0.5669754940204034,1.3469038208147657,1,0,2.0,0.9468387812376022
58,1,-0.33788450233288736,0.8190411599998602,0.4980444294986994,1,0,2.0,0.9468387812376022
59,1,0.5655353301821141,1.0567669115259504,1.245266436032359,1,0,2.0,0.9468387812376022
