sequence,opportunity,z0,plan,action,observed,y,lambda,alpha
1,1,0.6450955552317421,1.2203706661809133,1.5225029110404158,0,-1,0.0,1.4500101755059986
2,1,2.3468276674787156,2.2780190309058233,2.734270317264452,0,-1,0.0,1.4500101755059986
3,1,0.9983657522491117,1.6759312586482475,2.034166547133159,1,0,0.0,1.4500101755059986
4,1,0.5489107380686356,1.0382670135183358,0.28536059838224226,1,0,0.0,1.4500101755059986
5,1,0.06454922871297283,1.053211317232738,1.294721643854547,1,0,0.0,1.4500101755059986
6,1,1.1267478362441326,1.8214247006222979,1.0833291461438521,1,0,0.0,1.4500101755059986
7,1,0.5879754102390786,0.8332667313875018,0.5731028494649355,1,0,0.0,1.4500101755059986
8,1,-0.5306680364417409,0.2603123015867812,-0.04818946883606556,1,0,0.0,1.4500101755059986
9,1,-0.5999412627066342,0.2840537237421933,-0.038637671521145,0,-1,0.0,1.4500101755059986
10,1,-0.32253788396491834,0.5639442653306025,0.37776588028748026,1,0,0.0,1.4500101755059986
11,1,0.32990991317126683,0.8928927229524136,0.5377982690260232,1,0,0.0,1.4500101755059986
12,1,1.152467691746112,1.483899913010716,1.5374260419107155,0,-1,0.0,1.4500101755059986
13,1,-1.4434416256393248,-0.05932486131713402,0.4165633305244695,1,0,0.0,1.4500101755059986
14,1,1.0333263015902423,1.3223340645549928,1.2891378598157104,0,-1,0.0,1.4500101755059986
15,1,-1.0733342026183554,0.08249511754691374,0.6263677172703661,1,0,0.0,1.4500101755059986
16,1,0.8339585750280659,1.1632188526343237,1.0604852603599593,0,-1,0.0,1.4500101755059986
17,1,1.162923401217415,1.1527514677869608,1.7402016975472079,1,0,0.0,1.4500101755059986
18,1,0.046626562297668095,0.7974143068852707,0.5527524504883399,1,0,0.0,1.4500101755059986
19,1,-2.072884810319608,-0.7637666528246219,-0.7929658206221275,1,1,0.0,1.4500101755059986
20,1,-0.5422251673252607,0.6806328559316771,1.069288234777439,1,0,0.0,1.4500101755059986
21,1,0.6164124516260057,1.63010687396824,2.5652819168631757,1,0,0.0,1.4500101755059986
22,1,0.31984132093299844,1.1574142242366756,1.8391046638623318,0,-1,0.0,1.4500101755059986
23,1,0.16182307442280744,0.779530236058661,0.34649794233239184,1,0,0.0,1.4500101755059986
24,1,-0.2592072346761225,0.7968239740613751,0.5059165723555219,1,0,0.0,1.4500101755059986
25,1,-0.7938457869997224,0.044967263100715776,-0.09576499360677734,0,-1,0.0,1.4500101755059986
26,1,1.1785709077797881,1.703177468774166,1.0376940133118677,1,0,0.0,1.4500101755059986
27,1,1.4648803666128578,1.7569818721119121,2.6858848046890356,0,-1,0.0,1.4500101755059986
28,1,0.5718509670462107,1.1006818249088457,1.3897336658456394,1,0,0.0,1.4500101755059986
29,1,0.9281351142337069,1.3426846745710277,1.7513944906948922,1,0,0.0,1.4500101755059986
30,1,-2.7269457121401297,-1.3312677755718552,-1.996393631987814,1,0,0.0,1.4500101755059986
31,1,-0.14178960803318547,0.897611901167843,0.9345980511660532,1,0,0.0,1.4500101755059986
32,1,-1.8165614224182174,-0.35626822995689317,-0.8021964716122206,1,0,0.0,1.4500101755059986
33,1,0.926138477899123,1.3617584379678151,2.267870582910635,1,0,0.0,1.4500101755059986
34,1,3.615480279316482,3.3169495858575018,2.3083275029837864,1,0,0.0,1.4500101755059986
35,1,0.798790958622405,1.3988542939624455,1.4328400969566857,1,0,0.0,1.4500101755059986
36,1,0.8909984325409256,1.134523889482024,0.755122252608517,1,0,0.0,1.4500101755059986
37,1,0.9788660800815039,1.4507222527584505,1.2799943826914464,0,-1,0.0,1.4500101755059986
38,1,-0.013841009547342575,0.720578945773659,0.4982758504092192,0,-1,0.0,1.4500101755059986
39,1,1.0129763611511204,1.5806162327094149,2.8292754959723134,1,0,0.0,1.4500101755059986
40,1,-0.4719050975826288,0.5478691791043168,0.7925102077849903,1,0,0.0,1.4500101755059986
41,1,0.7594960285978495,1.338643668379126,0.8605192732097642,1,0,0.0,1.4500101755059986
42,1,-2.7897146954783523,-0.856992863322724,-0.8154890436808152,0,-1,0.0,1.4500101755059986
43,1,-1.5649881008481041,-0.30155871258948724,0.07385072204948256,1,0,0.0,1.4500101755059986
44,1,-0.5588705702778408,0.3603440148785991,-0.0792544934036265,0,-1,0.0,1.4500101755059986
45,1,-1.7588656713621473,-0.495544928267053,-0.7351046784250646,1,0,0.0,1.4500101755059986
46,1,-1.9420909340026418,-0.6892025694650603,-0.8109421346077081,0,-1,0.0,1.4500101755059986
47,1,2.1498797096256537,2.2353957552526946,2.540360793250605,1,0,0.0,1.4500101755059986
48,1,-0.7353696249258282,0.5374414797089742,0.5743868968191164,1,0,0.0,1.4500101755059986
49,1,-1.4963745423023673,-0.4739461095406071,-0.3412393891559529,1,0,0.0,1.4500101755059986
50,1,-1.4978173548450422,-0.009170412789692217,1.0460947059789567,1,0,0.0,1.4500101755059986
51,1,1.254053770575429,1.5310818756363913,2.037507732662813,0,-1,0.0,1.4500101755059986
52,1,-0.13541003642250826,0.9816445087272683,1.636396172535943,1,1,0.0,1.4500101755059986
53,1,-0.2968843192284286,0.4215365816359496,0.662180098854254,1,0,0.0,1.4500101755059986
54,1,-0.8997503553825703,0.12202106135322481,-0.009932534047040517,1,0,0.0,1.4500101755059986
55,1,-0.25650858215209943,0.48339833849496294,0.921308076780085,0,-1,0.0,1.4500101755059986
56,1,-0.13219902805086534,0.5823224070781117,1.2725534158849674,1,0,0.0,1.4500101755059986
57,1,1.8483205998048313,1.938693417242277,2.413197534550561,1,0,0.0,1.4500101755059986
58,1,-0.3048771069846935,0.6930405999906203,0.15260240949014292,1,0,0.0,1.4500101755059986
59,1,-0.4194058376880092,0.5448545620844334,-0.15172623033097998,1,0,0.0,1.4500101755059986
60,1,-0.9656264399139536,0.09196378406465941,0.17100976729611256,1,0,0.0,1.4500101755059986
61,1,-0.6300309350150392,0.3356727744267656,0.9506494778571878,0,-1,0.0,1.4500101755059986
62,1,0.4511203483751416,0.7736016214753395,-0.08900994709375976,1,0,0.0,1.4500101755059986
63,1,0.8598976805653616,1.3976003760505598,1.221751324774297,0,-1,0.0,1.4500101755059986
64,1,-0.11976406350220817,0.7929543703349154,-0.24399710286093235,1,0,0.0,1.4500101755059986
65,1,0.3696671494341214,1.0657614724162796,1.4506161732668788,1,0,0.0,1.4500101755059986
66,1,-0.5817217633908266,0.08225467267589948,1.1970310276640057,1,0,0.0,1.4500101755059986
67,1,0.18518601741453222,0.7132073910139738,0.9728626348445079,1,0,0.0,1.4500101755059986
68,1,1.961243906321117,2.135535624798038,2.8094044226951373,1,1,0.0,1.4500101755059986
69,1,0.43726640183074333,0.9612921042786968,1.9261913938658997,0,-1,0.0,1.4500101755059986
70,1,-0.44168452411713566,0.31191802630053855,0.16558598891363727,1,0,0.0,1.4500101755059986
71,1,2.514520606371355,2.5248425108501196,2.7975607861731464,0,-1,0.0,1.4500101755059986
72,1,0.3186795420589694,0.8077202075856699,1.2008664744342397,1,0,0.0,1.4500101755059986
73,1,-0.9965186274484293,0.2418195639122881,1.0546266379404823,0,-1,0.0,1.4500101755059986
74,1,0.5103250868758429,1.1154169177302977,1.144552223584648,1,0,0.0,1.4500101755059986
75,1,-0.9661648727310506,0.18504738612568838,0.5633752661404263,1,0,0.0,1.4500101755059986
76,1,-1.376091032357863,-0.048202671027362476,0.4879068639604775,1,0,0.0,1.4500101755059986
77,1,1.9307740288675308,2.249668514279011,2.475544360614924,1,0,0.0,1.4500101755059986
78,1,0.2900602505635625,0.9018225422145106,0.4899575806951952,1,1,0.0,1.4500101755059986
79,1,-1.3507807201954587,-0.3413132933606906,-0.9929245535908983,0,-1,0.0,1.4500101755059986
80,1,0.735971527426488,0.9812531383289077,0.7245696004683152,1,0,0.0,1.4500101755059986
81,1,1.2528775776318315,1.5366635834319937,1.7120624966400344,1,0,0.0,1.4500101755059986
82,1,-0.3683857676438513,0.187575549639296,-0.33318870052341987,0,-1,0.0,1.4500101755059986
83,1,-0.031502454901296134,0.4586419771119757,1.0823785740361673,1,0,0.0,1.4500101755059986
84,1,1.7693846425965376,1.8129536141415648,1.3543851901591426,1,0,0.0,1.4500101755059986
85,1,-1.010271945416036,-0.4473504454075977,0.06821100435628069,1,0,0.0,1.4500101755059986
86,1,0.49687278793169276,0.8919195111164335,-0.03647532205806314,1,0,0.0,1.4500101755059986
87,1,0.08328220553148395,0.8052245637237907,0.873151031881362,1,0,0.0,1.4500101755059986
88,1,-1.4326887923130027,-0.43278960624873525,-1.2006450404763496,0,-1,0.0,1.4500101755059986
89,1,1.0217765462526507,1.3548114061425773,0.7189269943971709,1,0,0.0,1.4500101755059986
90,1,-1.4166033532236135,0.008307618713544046,0.038521708923853315,1,0,0.0,1.4500101755059986
91,1,-2.4953367415337517,-1.1436308435271636,-1.3924931704083834,1,1,0.0,1.4500101755059986
