sequence,opportunity,z0,plan,action,observed,y,lambda,alpha
1,1,0.46539024762412334,0.7722342610432085,0.8899939032966959,0,-1,2.0,0.9468387812376022
2,1,0.4423045727698507,0.9150725499358865,0.35958038945283655,1,0,2.0,0.9468387812376022
3,1,0.010381058153701939,0.8575233094531883,1.3492653178146927,1,1,2.0,0.9468387812376022
4,1,0.622997378549798,1.16885168237274,1.0408006926179274,1,0,2.0,0.9468387812376022
5,1,1.6131376316743213,2.0134577909274314,2.1635990002263994,1,0,2.0,0.9468387812376022
6,1,-0.45593249106477735,0.87547394312668,0.807289560035408,1,0,2.0,0.9468387812376022
7,1,-0.4938657914451009,0.5202616353794445,1.831173776356745,1,0,2.0,0.9468387812376022
8,1,0.20470745756051295,0.9801283381961919,0.0443051437303813,0,-1,2.0,0.9468387812376022
9,1,0.48236808349834714,0.9881584109380992,1.8685700714152693,1,0,2.0,0.9468387812376022
10,1,-0.4631778341414826,0.530535469567493,1.5181091065342398,1,0,2.0,0.9468387812376022
11,1,1.6747746703584627,2.0815146172937617,2.2774688698711585,1,1,2.0,0.9468387812376022
12,1,-0.3495833366729789,0.30103852699219347,0.02228492743947358,1,0,2.0,0.9468387812376022
13,1,-0.5015540008348663,0.3196877978941772,0.5425593923707182,0,-1,2.0,0.9468387812376022
14,1,0.024597417761383966,0.6206430984129139,0.244628047918502,1,0,2.0,0.9468387812376022
15,1,-0.045851386258221966,0.5259917887300996,0.3357877850267216,1,0,2.0,0.9468387812376022
16,1,0.908591682745344,1.3533158088236628,0.6103388726426064,1,0,2.0,0.9468387812376022
17,1,0.9033847527284792,1.4190318382040337,1.259678605589728,0,-1,2.0,0.9468387812376022
18,1,0.40826084267414164,0.641235417917674,0.4775545454520921,1,0,2.0,0.9468387812376022
19,1,-1.8140281687111528,-0.5533949426327788,-1.466739518867385,0,-1,2.0,0.9468387812376022
20,1,-1.1912710346398845,-0.2114454104625881,-0.15427958147982898,1,0,2.0,0.9468387812376022
21,1,-0.24132778516449854,0.7377618244362383,0.3334078043964248,1,0,2.0,0.9468387812376022
22,1,-0.053250464466379877,0.579223418729099,0.1344716498014082,0,-1,2.0,0.9468387812376022
23,1,-0.984721258836788,-0.12383299705183481,-0.7151614918649886,0,-1,2.0,0.9468387812376022
24,1,-0.3083637415834186,0.45510876689824736,0.18363256199250028,1,0,2.0,0.9468387812376022
25,1,0.2577265800526925,0.8703261785212347,0.6051107676927221,0,-1,2.0,0.9468387812376022
26,1,0.2217436346541925,0.9139527895837294,1.1920290433325014,1,0,2.0,0.9468387812376022
27,1,0.04608350232711683,1.0081243339902646,1.097994916651808,1,0,2.0,0.9468387812376022
28,1,1.225334356897885,1.6866726947469317,0.6629117161551517,1,0,2.0,0.9468387812376022
