sequence,opportunity,z0,plan,action,observed,y,lambda,alpha
1,1,0.6450955552317421,1.2203706661809133,1.5225029110404158,0,-1,1.0,1.0240627378225327
2,1,2.3468276674787156,2.2780190309058233,2.734270317264452,1,0,1.0,1.0240627378225327
3,1,0.9983657522491117,1.6759312586482475,2.034166547133159,1,0,1.0,1.0240627378225327
4,1,0.5489107380686356,1.0382670135183358,0.28536059838224226,1,0,1.0,1.0240627378225327
5,1,0.06454922871297283,1.053211317232738,1.294721643854547,1,0,1.0,1.0240627378225327
6,1,1.1267478362441326,1.8214247006222979,1.0833291461438521,1,0,1.0,1.0240627378225327
7,1,0.5879754102390786,0.8332667313875018,0.5731028494649355,1,0,1.0,1.0240627378225327
8,1,-0.5306680364417409,0.2603123015867812,-0.04818946883606556,1,0,1.0,1.0240627378225327
9,1,-0.5999412627066342,0.2840537237421933,-0.038637671521145,0,-1,1.0,1.0240627378225327
10,1,-0.32253788396491834,0.5639442653306025,0.37776588028748026,1,0,1.0,1.0240627378225327
11,1,0.32990991317126683,0.8928927229524136,0.5377982690260232,1,0,1.0,1.0240627378225327
12,1,1.152467691746112,1.483899913010716,1.5374260419107155,0,-1,1.0,1.0240627378225327
13,1,-1.4434416256393248,-0.05932486131713402,0.4165633305244695,0,-1,1.0,1.0240627378225327
14,1,1.0333263015902423,1.3223340645549928,1.2891378598157104,0,-1,1.0,1.0240627378225327
15,1,-1.0733342026183554,0.08249511754691374,0.6263677172703661,1,0,1.0,1.0240627378225327
16,1,0.8339585750280659,1.1632188526343237,1.0604852603599593,1,0,1.0,1.0240627378225327
17,1,1.162923401217415,1.1527514677869608,1.7402016975472079,1,0,1.0,1.0240627378225327
18,1,0.046626562297668095,0.7974143068852707,0.5527524504883399,1,0,1.0,1.0240627378225327
19,1,-2.072884810319608,-0.7637666528246219,-0.7929658206221275,0,-1,1.0,1.0240627378225327
20,1,-0.5422251673252607,0.6806328559316771,1.069288234777439,1,0,1.0,1.0240627378225327
21,1,0.6164124516260057,1.63010687396824,2.5652819168631757,1,0,1.0,1.0240627378225327
22,1,0.31984132093299844,1.1574142242366756,1.8391046638623318,1,0,1.0,1.0240627378225327
23,1,0.16182307442280744,0.779530236058661,0.34649794233239184,1,0,1.0,1.0240627378225327
24,1,-0.2592072346761225,0.7968239740613751,0.5059165723555219,0,-1,1.0,1.0240627378225327
25,1,-0.7938457869997224,0.044967263100715776,-0.09576499360677734,0,-1,1.0,1.0240627378225327
26,1,1.1785709077797881,1.703177468774166,1.0376940133118677,1,0,1.0,1.0240627378225327
27,1,1.4648803666128578,1.7569818721119121,2.6858848046890356,0,-1,1.0,1.0240627378225327
28,1,0.5718509670462107,1.1006818249088457,1.3897336658456394,1,0,1.0,1.0240627378225327
29,1,0.9281351142337069,1.3426846745710277,1.7513944906948922,1,0,1.0,1.0240627378225327
30,1,-2.7269457121401297,-1.3312677755718552,-1.996393631987814,1,0,1.0,1.0240627378225327
31,1,-0.14178960803318547,0.897611901167843,0.9345980511660532,0,-1,1.0,1.0240627378225327
32,1,-1.8165614224182174,-0.35626822995689317,-0.8021964716122206,0,-1,1.0,1.0240627378225327
33,1,0.926138477899123,1.3617584379678151,2.267870582910635,1,0,1.0,1.0240627378225327
34,1,3.615480279316482,3.3169495858575018,2.3083275029837864,1,0,1.0,1.0240627378225327
35,1,0.798790958622405,1.3988542939624455,1.4328400969566857,1,0,1.0,1.0240627378225327
36,1,0.8909984325409256,1.134523889482024,0.755122252608517,1,0,1.0,1.0240627378225327
37,1,0.9788660800815039,1.4507222527584505,1.2799943826914464,1,0,1.0,1.0240627378225327
38,1,-0.013841009547342575,0.720578945773659,0.4982758504092192,0,-1,1.0,1.0240627378225327
39,1,1.0129763611511204,1.5806162327094149,2.8292754959723134,1,0,1.0,1.0240627378225327
40,1,-0.4719050975826288,0.5478691791043168,0.7925102077849903,1,0,1.0,1.0240627378225327
41,1,0.7594960285978495,1.338643668379126,0.8605192732097642,1,0,1.0,1.0240627378225327
42,1,-2.7897146954783523,-0.856992863322724,-0.8154890436808152,0,-1,1.0,1.0240627378225327
43,1,-1.5649881008481041,-0.30155871258948724,0.07385072204948256,0,-1,1.0,1.0240627378225327
44,1,-0.5588705702778408,0.3603440148785991,-0.0792544934036265,0,-1,1.0,1.0240627378225327
