"True learner","Condition","Replications","Family recovery","Exact parameter","State RMSE","State r","PE r"
"RL","Correct",200,".965",".915",".251",".976",".990"
"RL","Intercept -0.25",200,".430",".055",".358",".963",".981"
"RL","Intercept +0.25",200,"1.000",".010",".362",".978",".990"
"RL","State slope ×0.80",200,"1.000",".005",".414",".975",".988"
"RL","Intercept +0.25; slope ×0.80",200,"1.000",".000",".846",".956",".974"
"Bayesian","Correct",200,".990",".585",".218",".962",".985"
"Bayesian","Intercept -0.25",200,".895",".010",".295",".932",".969"
"Bayesian","Intercept +0.25",200,".570",".000",".281",".959",".982"
"Bayesian","State slope ×0.80",200,".315",".005",".294",".957",".980"
"Bayesian","Intercept +0.25; slope ×0.80",200,".000",".000",".391",".942",".970"
