"Target R2","Realized R2","Estimator","Truth","Estimate","Bias","RMSE","Normal cov.","Participant-t cov."
".00",".000","Plan only",".250",".736",".487",".490",".000",".000"
".00",".000","Plan + proxy",".250",".736",".487",".490",".000",".000"
".00",".000","Oracle",".250",".260",".011",".077",".950",".950"
".25",".250","Plan only",".250",".736",".487",".490",".000",".000"
".25",".250","Plan + proxy",".250",".659",".409",".414",".000",".000"
".25",".250","Oracle",".250",".260",".011",".077",".950",".950"
".50",".500","Plan only",".250",".736",".487",".490",".000",".000"
".50",".500","Plan + proxy",".250",".561",".312",".319",".013",".019"
".50",".500","Oracle",".250",".260",".011",".077",".950",".950"
".75",".750","Plan only",".250",".736",".487",".490",".000",".000"
".75",".750","Plan + proxy",".250",".435",".186",".199",".294",".331"
".75",".750","Oracle",".250",".260",".011",".077",".950",".950"
"1.00","1.000","Plan only",".250",".736",".487",".490",".000",".000"
"1.00","1.000","Plan + proxy",".250",".266",".016",".082",".963",".963"
"1.00","1.000","Oracle",".250",".260",".011",".077",".950",".950"
