"N","Delta","Compliance","Truth","Estimate","Bias","RMSE","Normal cov.","Participant-t cov.","Normal power","Participant-t power"
12,".15",".70",".0049",".0060",".0011",".0131",".920",".964",".096",".056"
12,".15","1.00",".0071",".0075",".0004",".0136",".932",".960",".140",".100"
12,".30",".70",".0098",".0091","-.0007",".0132",".932",".940",".124",".096"
12,".30","1.00",".0143",".0136","-.0006",".0125",".932",".956",".224",".176"
12,".45",".70",".0148",".0161",".0013",".0134",".936",".956",".304",".240"
12,".45","1.00",".0212",".0212","-.0000",".0131",".924",".944",".424",".360"
30,".15",".70",".0050",".0055",".0005",".0075",".956",".968",".112",".088"
30,".15","1.00",".0071",".0083",".0012",".0091",".896",".908",".200",".184"
30,".30",".70",".0099",".0103",".0003",".0076",".960",".968",".248",".208"
30,".30","1.00",".0142",".0138","-.0004",".0078",".948",".948",".388",".352"
30,".45",".70",".0148",".0141","-.0007",".0084",".924",".932",".432",".416"
30,".45","1.00",".0213",".0218",".0005",".0086",".920",".924",".756",".716"
60,".15",".70",".0050",".0053",".0003",".0057",".956",".960",".152",".136"
60,".15","1.00",".0071",".0067","-.0004",".0059",".928",".936",".220",".208"
60,".30",".70",".0099",".0096","-.0003",".0058",".940",".948",".368",".368"
60,".30","1.00",".0142",".0144",".0003",".0058",".936",".944",".696",".684"
60,".45",".70",".0148",".0146","-.0003",".0058",".944",".956",".700",".688"
60,".45","1.00",".0212",".0215",".0004",".0055",".956",".956",".976",".976"
100,".15",".70",".0050",".0049","-.0001",".0047",".924",".932",".232",".228"
100,".15","1.00",".0071",".0069","-.0002",".0045",".944",".944",".336",".336"
100,".30",".70",".0099",".0102",".0003",".0044",".944",".948",".644",".632"
100,".30","1.00",".0141",".0138","-.0003",".0042",".960",".960",".876",".872"
100,".45",".70",".0149",".0145","-.0003",".0045",".944",".948",".924",".900"
100,".45","1.00",".0212",".0211","-.0001",".0045",".932",".940",".996",".996"
